Date,Open,High,Low,Close,Adj Close,Volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,Margin_Gross,Margin_Operating,Margin_Net_Profit,insider_acquisition,insider_disposal,mean_sentiment,mean_outlook
1972-06-01,0.0,1.3984379768371582,1.3203129768371582,1.3984379768371582,0.1769943684339523,992000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1972-06-02,1.4296879768371582,1.4921879768371582,1.4296879768371582,1.484375,0.1878711134195327,787200.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1972-06-05,1.46875,1.46875,1.4375,1.453125,0.183915913105011,334400.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1972-06-06,1.453125,1.46875,1.4453129768371582,1.453125,0.183915913105011,324800.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1972-06-07,1.453125,1.4609379768371582,1.4296879768371582,1.4296879768371582,0.1809494495391845,440000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1972-06-08,1.4296879768371582,1.4375,1.40625,1.4140629768371582,0.1789720505475998,502400.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1972-06-09,1.4140629768371582,1.453125,1.4140629768371582,1.421875,0.1799605041742324,275200.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1972-06-12,1.421875,1.4453129768371582,1.421875,1.4375,0.1819381713867187,171200.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1972-06-13,1.4375,1.46875,1.421875,1.46875,0.1858935356140136,272000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1972-06-14,1.46875,1.515625,1.46875,1.4921879768371582,0.1888598650693893,484800.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1972-06-15,1.4921879768371582,1.5234379768371582,1.484375,1.484375,0.1878711134195327,486400.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
