Date,Open,High,Low,Close,Adj Close,Volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,Margin_Gross,Margin_Operating,Margin_Net_Profit,insider_acquisition,insider_disposal,mean_sentiment,mean_outlook
1972-06-01,0.0,1.6018520593643188,1.5833330154418943,1.6018520593643188,0.3963693380355835,318600.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1972-06-02,1.6018520593643188,1.618056058883667,1.5972219705581665,1.5972219705581665,0.3952237069606781,140400.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1972-06-05,1.5972219705581665,1.599537014961243,1.5439809560775757,1.5740740299224854,0.3906285762786865,469800.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1972-06-06,1.5601849555969238,1.5601849555969238,1.555556058883667,1.5601849555969238,0.3871816098690033,140400.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1972-06-07,1.5601849555969238,1.5625,1.546296000480652,1.5509259700775146,0.3848837614059448,178200.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1972-06-08,1.5509259700775146,1.555556058883667,1.5416669845581057,1.5509259700775146,0.3848837614059448,432000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1972-06-09,1.5509259700775146,1.555556058883667,1.548611044883728,1.5532410144805908,0.3854586780071258,199800.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1972-06-12,1.5532410144805908,1.555556058883667,1.546296000480652,1.548611044883728,0.3843095004558563,183600.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1972-06-13,1.5509259700775146,1.5671299695968628,1.5509259700775146,1.5671299695968628,0.3889052867889404,415800.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1972-06-14,1.5717589855194092,1.587962985038757,1.5717589855194092,1.5833330154418943,0.3929261863231659,216000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1972-06-15,1.5833330154418943,1.587962985038757,1.576388955116272,1.578703999519348,0.3917770981788635,178200.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1972-06-16,1.578703999519348,1.587962985038757,1.569443941116333,1.576388955116272,0.3912028074264526,183600.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1972-06-19,1.576388955116272,1.5833330154418943,1.5601849555969238,1.5717589855194092,0.3900536298751831,324000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1972-06-20,1.5717589855194092,1.5740740299224854,1.5648150444030762,1.5717589855194092,0.3900536298751831,129600.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1972-06-21,1.5717589855194092,1.5833330154418943,1.5671299695968628,1.5740740299224854,0.3906285762786865,356400.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1972-06-22,1.5740740299224854,1.5856479406356812,1.569443941116333,1.5833330154418943,0.3929261863231659,324000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1972-06-23,1.5833330154418943,1.59490704536438,1.5833330154418943,1.59259295463562,0.3952241241931915,275400.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
