Date,Open,High,Low,Close,Adj Close,Volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,Margin_Gross,Margin_Operating,Margin_Net_Profit,insider_acquisition,insider_disposal,mean_sentiment,mean_outlook
1973-02-21,0.0,22.625,22.125,22.375,4.450960636138916,4300.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-02-22,0.0,22.5,22.125,22.5,4.475826740264893,4000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-02-23,0.0,22.5,22.0,22.0,4.376363754272461,3500.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-02-26,0.0,22.125,21.75,21.875,4.35149621963501,2200.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-02-27,0.0,21.875,21.5,21.5,4.276899337768555,6400.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-02-28,0.0,21.75,21.5,21.625,4.301766872406006,2200.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-03-01,0.0,21.875,21.5,21.625,4.301766872406006,6200.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-03-02,0.0,21.875,21.625,21.75,4.326630592346191,3100.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-03-05,0.0,22.0,20.5,20.75,4.1277031898498535,27800.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-03-06,0.0,21.125,20.875,20.875,4.152571678161621,7900.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-03-07,0.0,21.375,21.0,21.25,4.227168560028076,4400.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-03-08,0.0,21.625,21.0,21.25,4.227168560028076,14200.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-03-09,0.0,21.375,20.875,20.875,4.152571678161621,3600.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-03-12,0.0,20.875,20.5,20.5,4.077975273132324,4800.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-03-13,0.0,21.375,20.5,21.125,4.202302932739258,8400.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-03-14,0.0,21.25,20.75,21.0,4.177438259124756,9500.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-03-15,0.0,21.375,21.0,21.0,4.177438259124756,6600.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-03-16,0.0,21.375,20.75,20.75,4.1277031898498535,5900.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-03-19,0.0,21.0,20.625,20.625,4.102839469909668,5900.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-03-20,0.0,20.5,20.25,20.375,4.053108215332031,6300.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-03-21,0.0,20.375,20.25,20.375,4.053108215332031,5700.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-03-22,0.0,20.375,19.875,19.875,3.9536468982696538,7000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-03-23,0.0,20.0,19.625,20.0,3.978513240814209,10400.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-03-26,0.0,20.25,20.0,20.25,4.0282440185546875,5700.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-03-27,0.0,20.375,20.0,20.25,4.0282440185546875,8300.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-03-28,0.0,20.5,20.125,20.25,4.0282440185546875,3500.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-03-29,0.0,20.625,20.0,20.5,4.077975273132324,34400.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-03-30,0.0,20.75,20.5,20.625,4.102839469909668,3400.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-04-02,0.0,20.75,19.875,19.875,3.9536468982696538,19000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-04-03,0.0,19.875,19.75,19.875,3.9536468982696538,7700.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-04-04,0.0,19.875,19.5,19.5,3.879048585891723,17200.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-04-05,0.0,19.625,19.25,19.625,3.903913974761963,7400.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-04-06,0.0,19.625,19.25,19.375,3.854183435440063,9300.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-04-09,0.0,20.125,19.5,20.0,3.978513240814209,5500.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-04-10,0.0,20.125,19.625,19.875,3.9536468982696538,22500.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-04-11,0.0,20.0,19.875,19.875,3.9536468982696538,10800.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-04-12,0.0,20.125,19.75,20.0,3.978513240814209,22900.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-04-13,0.0,20.625,20.25,20.5,4.077975273132324,7600.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-04-16,0.0,20.75,20.375,20.625,4.102839469909668,3000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-04-17,0.0,21.0,20.75,20.75,4.1277031898498535,1900.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-04-18,0.0,21.125,20.875,21.125,4.202302932739258,1800.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-04-19,0.0,22.25,21.125,21.875,4.35149621963501,7000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-04-23,0.0,22.5,22.0,22.125,4.401230812072754,18900.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-04-24,0.0,22.25,21.875,21.875,4.35149621963501,5400.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-04-25,0.0,21.375,20.875,21.25,4.283962249755859,3800.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-04-26,0.0,21.375,21.125,21.25,4.283962249755859,3100.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-04-27,0.0,21.5,21.125,21.25,4.283962249755859,3800.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-04-30,0.0,21.5,21.0,21.0,4.233562469482422,5700.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-05-01,0.0,21.5,21.125,21.125,4.258761405944824,6900.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-05-02,0.0,21.5,21.0,21.5,4.3343610763549805,5000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-05-03,0.0,21.75,21.25,21.75,4.384761810302734,3800.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-05-04,0.0,22.625,22.0,22.375,4.510759353637695,6800.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-05-07,0.0,22.5,21.75,21.75,4.384761810302734,5100.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-05-08,0.0,21.75,21.5,21.75,4.384761810302734,8300.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-05-09,0.0,21.875,21.625,21.625,4.359560489654541,2500.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-05-10,0.0,21.875,21.625,21.75,4.384761810302734,13700.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-05-11,0.0,21.75,21.625,21.75,4.384761810302734,6700.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-05-14,0.0,21.375,20.75,21.125,4.258761405944824,10900.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-05-15,0.0,21.25,20.75,21.0,4.233562469482422,9800.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-05-16,0.0,21.375,20.75,21.0,4.233562469482422,4400.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-05-17,0.0,21.0,20.875,20.875,4.208363056182861,2000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
