,Close_diff_MA_7,Volume_diff_MA_7,Close_diff_MA_30,Volume_diff_MA_30,Close_diff_MA_90,Volume_diff_MA_90,Close_diff_MA_180,Volume_diff_MA_180,price_change_term_7,price_change_term_30,price_change_term_120,price_change_term_240,Symbol,Close,Volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,Margin_Gross,Margin_Operating,Margin_Net_Profit,insider_acquisition,insider_disposal,mean_sentiment,mean_outlook,^VIX,SPY,CL=F,BZ=F,BTC=F,10year,5year,3year,2year
2008-01-30,-0.020091010180750844,-0.11284159333024545,-0.14028283413541376,0.4631374908094379,-0.18137631062103873,0.20235087333845986,-0.015551898353530625,0.2953727295142598,-0.072276792215891,-0.2467733856244213,-0.20392362373773565,-0.5668559638712538,PODD,19.3700008392334,218900.0,-0.52,-0.5,-0.02,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.6200008392334,134.91000366210938,92.33000183105467,92.52999877929688,19100.0,3.74,2.78,3.74,1.97
2008-01-31,0.007556471025007055,-0.4842105263157895,-0.11644020902252133,-0.19610476830087306,-0.16216713644206135,-0.34136678771871903,0.005717031320123428,-0.1612164813603662,-0.10247343937524467,-0.2645128678638705,-0.22211003216304026,-0.5164058464425443,PODD,19.809999465942383,119700.0,-0.52,-0.5,-0.02,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.200000762939453,137.3699951171875,91.75,92.20999908447266,19100.0,3.74,2.78,3.74,1.97
2008-02-01,0.02738115053245708,-0.07343722013254526,-0.10665747934673855,0.5161393270721256,-0.15589147344788135,0.21463183013538525,0.011036585032184233,0.5617992039543978,-0.11233699654582419,-0.2948846518031857,-0.2592778303823794,-0.5611835624048778,PODD,19.940000534057617,221700.0,-0.52,-0.5,-0.02,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.020000457763672,139.5800018310547,88.95999908447266,89.44000244140625,19100.0,3.74,2.78,3.74,1.97
2008-02-04,-0.011440450198321156,-0.09957363069858972,-0.14404068960053182,0.3009154836141701,-0.19424493212814384,0.06726251307697417,-0.03717042052836407,0.3940372896483904,-0.06259865963860711,-0.3024723793145485,-0.23356130881639525,-0.5160442031301187,PODD,19.010000228881836,196100.0,-0.52,-0.5,-0.02,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.989999771118164,137.82000732421875,90.0199966430664,90.4000015258789,19100.0,3.74,2.78,3.74,1.97
2008-02-05,-0.05660378328509703,2.263291694060925,-0.18308068932506744,4.756968876860623,-0.2358562642969501,4.451066592257668,-0.08904833624961978,6.295007944763886,-0.01388888888888884,-0.26111110051472985,-0.23388889100816512,-0.5211111174689399,PODD,18.0,1063600.0,-0.52,-0.5,-0.02,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.239999771118164,134.1300048828125,88.41000366210938,88.81999969482422,19100.0,3.74,2.78,3.74,1.97
2008-02-06,-0.03516911641219105,0.8333151482087654,-0.15705655569774588,2.504591025599429,-0.21694770697895627,2.560797112198981,-0.06852347224860647,3.8353017540456458,-0.03583061046028502,-0.2909880366165375,-0.2904451878018738,-0.5684039209371895,PODD,18.420000076293945,720100.0,-0.52,-0.5,-0.02,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.969999313354492,133.0500030517578,87.13999938964844,87.77999877929688,19100.0,3.74,2.78,3.74,1.97
2008-02-07,-0.021703194985099913,-0.6291477145626725,-0.14196133234717678,-0.3219017926734216,-0.2076954828056265,-0.2931481409834797,-0.05970523206736412,-0.04583911544831902,-0.06501885825561116,-0.2896292405452494,-0.30145085579583875,-0.5443310443783949,PODD,18.61000061035156,142100.0,-0.52,-0.5,-0.02,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.65999984741211,133.92999267578125,88.11000061035156,88.51000213623047,19100.0,3.74,2.78,3.74,1.97
2008-02-08,-0.0453096920539605,-0.5881251671569938,-0.16452285775818218,-0.27713105520090126,-0.2337540788319116,-0.23695641402546785,-0.09273484444381734,0.032117777595746404,-0.087924317422309,-0.288258183051344,-0.22370615791297632,-0.5670561765672075,PODD,17.969999313354492,154000.0,-0.52,-0.5,-0.02,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.010000228881836,133.07000732421875,91.7699966430664,91.94000244140624,19100.0,3.74,2.78,3.74,1.97
2008-02-11,-0.04062280570554383,-0.4589921678735037,-0.16671870666530395,-0.040880262856269535,-0.2401564778328934,0.03227079838152571,-0.10297156083301186,0.40157591683446914,-0.08211478826982777,-0.22440948091691326,-0.22047249035893235,-0.562429701386239,PODD,17.780000686645508,209200.0,-0.52,-0.5,-0.02,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.600000381469727,133.75,93.58999633789062,93.52999877929688,19100.0,3.74,2.78,3.74,1.97
2008-02-12,-0.028159042204303087,-0.711304012345679,-0.16301500138027375,-0.5138183527128845,-0.2417823727699356,-0.47182634664792816,-0.10764047441099703,-0.2854808763460825,-0.029943540327706186,-0.15423730950491055,-0.20564972804657977,-0.5406779794346878,PODD,17.700000762939453,106900.0,-0.52,-0.5,-0.02,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.329999923706055,134.99000549316406,92.77999877929688,92.86000061035156,19100.0,3.74,2.78,3.74,1.97
2008-02-13,-0.01235156980605219,-0.64420410427066,-0.14975508834830312,-0.4224796314912899,-0.23458723936101256,-0.36444945922888516,-0.10223184053314102,-0.14211844070163965,-0.01627379422811892,-0.1773288384696171,-0.19584735302390743,-0.5505050299631418,PODD,17.81999969482422,128300.0,-0.52,-0.5,-0.02,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.8799991607666,136.3699951171875,93.2699966430664,93.31999969482422,19100.0,3.74,2.78,3.74,1.97
2008-02-14,-0.01428005654951965,-0.20777170613236187,-0.14538830687445375,-0.1767875281543965,-0.23549229916226702,-0.07417218543046362,-0.10642118145387858,0.24331134662417553,-0.005633824308153623,-0.1887324158574495,-0.17014087085992513,-0.517746455232862,PODD,17.75,186400.0,-0.52,-0.5,-0.02,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.540000915527344,135.1699981689453,95.45999908447266,95.16000366210938,19100.0,3.74,2.78,3.74,1.97
