,Close_diff_MA_7,Volume_diff_MA_7,Close_diff_MA_30,Volume_diff_MA_30,Close_diff_MA_90,Volume_diff_MA_90,Close_diff_MA_180,Volume_diff_MA_180,price_change_term_7,price_change_term_30,price_change_term_120,price_change_term_240,Symbol,Close,Volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,Margin_Gross,Margin_Operating,Margin_Net_Profit,insider_acquisition,insider_disposal,mean_sentiment,mean_outlook,^VIX,SPY,CL=F,BZ=F,BTC=F,10year,5year,3year,2year
2023-08-10,0.005400000946881452,0.009936648442245968,0.02451926421844576,-0.32502841985600606,0.09247835449868536,-0.24778104835567577,0.10593356903089872,-0.2297128766009038,-0.09079815103768007,-0.10759723961487977,-0.014254610123968892,-0.14150697909109378,POOL,385.1400146484375,332500.0,5.91,6.1,0.19,4.1394,0.3056930713059321,0.1760608992426359,0.1250428699182658,0.0051519577161137,0.0129800403366019,0.2,0.5,15.850000381469728,445.9100036621094,82.81999969482422,86.4000015258789,29495.0,4.38,4.49,4.38,5.02
2023-08-11,-0.019274523333224814,-0.01407566792182169,-0.0028416821038345814,-0.3523830462593353,0.06251825434645594,-0.2876324447422649,0.07608494236535294,-0.2712663287316096,-0.062399983723958385,-0.0749066569010417,-0.010000000000000009,-0.12394669596354169,POOL,375.0,314200.0,5.91,6.1,0.19,4.1394,0.3056930713059321,0.1760608992426359,0.1250428699182658,0.0105264622018221,0.005263231100911,0.2,0.5,14.84000015258789,445.6499938964844,83.19000244140625,86.80999755859375,29465.0,4.38,4.49,4.38,5.02
2023-08-14,-0.023277117297653974,0.059574468085106386,-0.00886425762430834,-0.3196006305832895,0.0544164228809852,-0.2662378222629686,0.06865185814976589,-0.2501467121045208,-0.04301392170477192,-0.09228006925517274,0.011833453150601914,-0.11028525135544731,POOL,372.6700134277344,323700.0,5.91,6.1,0.19,4.1394,0.3056930713059321,0.1760608992426359,0.1250428699182658,0.0105264622018221,0.005263231100911,0.2,0.5,14.81999969482422,448.1099853515625,82.51000213623047,86.20999908447266,29395.0,4.38,4.49,4.38,5.02
2023-08-15,-0.030416279808198585,0.04226331155289862,-0.020750762352195872,-0.32726600177274023,0.03994521270673644,-0.2698980983063514,0.05463029642516661,-0.2556526842527954,-0.04284275359441092,-0.06626092633191372,0.015648373557909823,-0.0815833059253549,POOL,368.0899963378906,321300.0,5.91,6.1,0.19,4.1394,0.3056930713059321,0.1760608992426359,0.1250428699182658,0.0105264622018221,0.005263231100911,0.2,0.5,16.459999084472656,442.8900146484375,80.98999786376953,84.88999938964844,29225.0,4.38,4.49,4.38,5.02
2023-08-16,-0.025698929418396535,-0.21294604212753673,-0.022614727556601155,-0.5064803478701397,0.036266561342374666,-0.4659051970302684,0.05147383829698453,-0.45780128914559,-0.03615966461410214,-0.038828103758765775,-0.0015793091390861047,-0.1091052830657776,POOL,367.260009765625,233800.0,5.91,6.1,0.19,4.1394,0.3056930713059321,0.1760608992426359,0.1250428699182658,0.0105264622018221,0.005263231100911,0.2,0.5,16.780000686645508,439.6400146484375,79.37999725341797,83.44999694824219,29130.0,4.38,4.49,4.38,5.02
2023-08-17,-0.05480098946533738,0.2733469349902626,-0.06321356543531274,-0.17416321661637776,-0.00840287446528329,-0.10513242934989225,0.006312124436755617,-0.08506792606845082,0.007650529147278373,0.012769889761417685,0.062455626653205254,0.023691070893549382,POOL,351.6099853515625,392300.0,5.91,6.1,0.19,4.1394,0.3056930713059321,0.1760608992426359,0.1250428699182658,0.0105264622018221,0.005263231100911,0.2,0.5,17.889999389648438,436.2900085449219,80.38999938964844,84.12000274658203,27850.0,4.38,4.49,4.38,5.02
2023-08-18,-0.04780757014009067,0.7105594956658786,-0.0675177634112611,0.2771740995737262,-0.014494936666726738,0.40975549387408733,6.403609172989333e-05,0.44283821771301163,0.053392097580807985,0.01891331956233655,0.08973079843605802,0.06389315206100399,POOL,349.489990234375,620200.0,5.91,6.1,0.19,4.1394,0.3056930713059321,0.1760608992426359,0.1250428699182658,0.0105264622018221,0.005263231100911,0.2,0.5,17.299999237060547,436.5,81.25,84.80000305175781,26020.0,4.38,4.49,4.38,5.02
2023-08-21,-0.032790215117682396,-0.2724982732702231,-0.06351622476142953,-0.46835706120752363,-0.013080478250633524,-0.41464679723672204,0.00169557630869697,-0.40324969964190316,0.05602991222786846,-0.0033412724758506984,0.10614838931040316,0.05414510303004838,POOL,350.1700134277344,255800.0,5.91,6.1,0.19,4.1394,0.3056930713059321,0.1760608992426359,0.1250428699182658,0.0105264622018221,0.005263231100911,0.2,0.5,17.1299991607666,439.3399963378906,80.72000122070312,84.45999908447266,26065.0,4.38,4.49,4.38,5.02
2023-08-22,-0.019789784352934034,-0.37851716674447233,-0.05714682549531017,-0.5589909352821306,-0.009399484642322061,-0.5187965312866596,0.005283120294280445,-0.5104664193171802,0.039817974280347945,-0.036262798005316954,0.09968710803335301,0.05944252995926047,POOL,351.6000061035156,209200.0,5.91,6.1,0.19,4.1394,0.3056930713059321,0.1760608992426359,0.1250428699182658,0.0105264622018221,0.005263231100911,0.2,0.5,16.969999313354492,438.1499938964844,80.3499984741211,84.02999877929688,25730.0,4.38,4.49,4.38,5.02
2023-08-23,0.0006493697680898986,-0.3809310252040542,-0.04091129077921037,-0.5806218365871294,0.003970866131696676,-0.5413799429955012,0.019067712943709247,-0.5375770737445756,0.032357496504477945,-0.05072349179129898,0.10167109062002089,0.0487886753639708,POOL,356.6400146484375,197200.0,5.91,6.1,0.19,4.1394,0.3056930713059321,0.1760608992426359,0.1250428699182658,0.0105264622018221,0.005263231100911,0.2,0.5,15.979999542236328,443.0299987792969,78.88999938964844,83.20999908447266,26640.0,4.38,4.49,4.38,5.02
2023-08-24,-0.005183343665109481,-0.35894140606406777,-0.04994492791324403,-0.5861564603901831,-0.008652019023565067,-0.5499157846582521,0.0062246619653162395,-0.5484451398396245,0.016547418401080538,-0.05262263896316466,0.0668710180200267,0.03757944470689978,POOL,352.32000732421875,192400.0,5.91,6.1,0.19,4.1394,0.3056930713059321,0.1760608992426359,0.1250428699182658,0.0001112733847972,0.005263231100911,0.2,0.5,17.200000762939453,436.8900146484375,79.05000305175781,83.36000061035156,25995.0,4.38,4.49,4.38,5.02
2023-08-25,0.0048868520652122025,-0.43415546694235213,-0.04460727729479756,-0.6194022931668572,-0.004449268736793611,-0.6124433534743202,0.010568776544204638,-0.6124001526479301,-0.011243603770840771,-0.05045487122104875,0.08136049183319871,-0.0016667504366889574,POOL,353.9800109863281,164200.0,5.91,6.1,0.19,4.1394,0.3056930713059321,0.1760608992426359,0.1250428699182658,0.0001112733847972,0.005263231100911,0.2,0.5,15.68000030517578,439.9700012207031,79.83000183105469,84.4800033569336,26003.359375,4.38,4.49,4.38,5.02
