,Close_diff_MA_7,Volume_diff_MA_7,Close_diff_MA_30,Volume_diff_MA_30,Close_diff_MA_90,Volume_diff_MA_90,Close_diff_MA_180,Volume_diff_MA_180,price_change_term_7,price_change_term_30,price_change_term_120,price_change_term_240,Symbol,Close,Volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,Margin_Gross,Margin_Operating,Margin_Net_Profit,insider_acquisition,insider_disposal,mean_sentiment,mean_outlook,^VIX,SPY,CL=F,BZ=F,BTC=F,10year,5year,3year,2year
2024-08-09,0.004993889996774549,-0.22387826386942364,-0.02176422648632038,-0.14840734356692656,-0.06054002050307152,-0.14437447280542612,-0.04997621957007255,-0.2781851632993919,0.02902291241042887,-0.04017430244652209,0.0,0.0,PSX,135.41000366210938,2056900.0,2.31,1.98,0.33,16.6667,0.0711550566512799,0.0136120436424674,0.0266208560637851,7.821782178217822e-07,0.0006728930693069,0.1,0.5,20.3700008392334,532.989990234375,76.83999633789062,79.66000366210938,60990.0,3.72,3.5,3.72,3.62
2024-08-10,0.010931966650622744,-0.16738180051813473,-0.020405475243217012,-0.04041762756565855,-0.05797877601433616,-0.14150087208237316,-0.050608259597842105,-0.2776355021190467,-0.02230266738635356,-0.03175543117543722,0.0,0.0,PSX,135.41000366210938,2056900.0,2.31,1.98,0.33,16.6667,0.0711550566512799,0.0136120436424674,0.0266208560637851,7.821782178217822e-07,0.0006728930693069,0.7,0.8,20.3700008392334,532.989990234375,76.83999633789062,79.66000366210938,60990.0,3.72,3.5,3.72,3.62
2024-08-12,0.012152327898959977,-0.2538268065772394,-0.015806833316833746,-0.2662403544534733,-0.052154267971496505,-0.34011292498594364,-0.04797600619266075,-0.44593433712357866,-0.014718869061896678,-0.047174002294433026,0.0,0.0,PSX,135.8800048828125,1576600.0,2.31,1.98,0.33,16.6667,0.0711550566512799,0.0136120436424674,0.0266208560637851,7.821782178217822e-07,0.0006728930693069,0.8,1.0,20.709999084472656,533.27001953125,80.05999755859375,82.30000305175781,59200.0,3.72,3.5,3.72,3.62
2024-08-13,-0.00014848331432102104,0.15492967180174153,-0.02327332963064662,0.14926672991088794,-0.05819066452165514,0.0317880659087397,-0.05698039821992688,-0.1268014149395784,-0.01113916500228096,-0.03571957097716305,0.0,0.0,PSX,134.66000366210938,2463300.0,2.31,1.98,0.33,16.6667,0.0711550566512799,0.0136120436424674,0.0266208560637851,7.821782178217822e-07,0.0006728930693069,0.8,1.0,18.1200008392334,542.0399780273438,78.3499984741211,80.69000244140625,61105.0,3.72,3.5,3.72,3.62
2024-08-14,0.017437536859273597,-0.0027233406311742096,-0.0005782398812440501,-0.020225296769277378,-0.034850690345797596,-0.10504460660510406,-0.036021834195873376,-0.2327950405816341,-0.016920856083464386,-0.050980424314022166,0.0,0.0,PSX,137.6999969482422,2134400.0,2.31,1.98,0.33,16.6667,0.0711550566512799,0.0136120436424674,0.0266208560637851,7.821782178217822e-07,0.0006728930693069,0.8,1.0,16.190000534057617,543.75,76.9800033569336,79.76000213623047,59080.0,3.72,3.5,3.72,3.62
2024-08-15,0.01846483801328124,-0.08292597056155131,0.006466356074948476,-0.11621371033428594,-0.025973165590593757,-0.18915408028003164,-0.029500255061619546,-0.30052824877818374,-0.024877394941229203,-0.055018676283474566,0.0,0.0,PSX,138.67999267578125,1935000.0,2.31,1.98,0.33,16.6667,0.0711550566512799,0.0136120436424674,0.0266208560637851,0.0002970297029702,0.0004752475247524,0.8,1.0,15.229999542236328,553.0700073242188,78.16000366210938,81.04000091552734,57220.0,3.72,3.5,3.72,3.62
2024-08-16,0.016494871176909058,-0.16989962214081747,0.0074843219819174375,-0.24886724887638398,-0.0222662362161731,-0.30975254065443514,-0.02821661632531038,-0.4016963760195073,-0.0326806316295194,-0.053771964577904785,0.0,0.0,PSX,138.9199981689453,1644500.0,2.31,1.98,0.33,16.6667,0.0711550566512799,0.0136120436424674,0.0266208560637851,0.0002970297029702,0.0004752475247524,0.8,1.0,14.800000190734863,554.3099975585938,76.6500015258789,79.68000030517578,59990.0,3.72,3.5,3.72,3.62
2024-08-19,0.015396764575654948,-0.059166263576799584,0.008937574848277664,-0.1525494219092245,-0.01753162467709156,-0.22965230248787433,-0.025719340828564464,-0.3305552524831768,-0.031362101564797906,-0.04557191769496127,0.0,0.0,PSX,139.33999633789062,1833900.0,2.31,1.98,0.33,16.6667,0.0711550566512799,0.0136120436424674,0.0266208560637851,0.0002970297029702,0.0004752475247524,0.8,1.0,14.649999618530272,559.6099853515625,74.37000274658203,77.66000366210938,59200.0,3.72,3.5,3.72,3.62
2024-08-20,-0.032206519203228416,0.4496517086121718,-0.041020481215827534,0.37787807232133636,-0.06445141805685749,0.2628435573350494,-0.07458014346353305,0.1046231877798588,0.03104464558727771,0.015711170334949953,0.0,0.0,PSX,132.38999938964844,3026500.0,2.31,1.98,0.33,16.6667,0.0711550566512799,0.0136120436424674,0.0266208560637851,0.0002970297029702,0.0004752475247524,0.8,1.0,15.880000114440918,558.7000122070312,74.04000091552734,77.19999694824219,59670.0,3.72,3.5,3.72,3.62
2024-08-21,-0.019265943927299044,0.42493845411395315,-0.029515133676604098,0.48482998623135776,-0.05213594634898396,0.38104226424860194,-0.06450125750243528,0.2171481168532321,0.04802802839310871,0.037720254024408595,0.0,0.0,PSX,133.8800048828125,3332300.0,2.31,1.98,0.33,16.6667,0.0711550566512799,0.0136120436424674,0.0266208560637851,0.0002970297029702,0.0004752475247524,0.8,1.0,16.270000457763672,560.6199951171875,71.93000030517578,76.05000305175781,61730.0,3.72,3.5,3.72,3.62
