Date,Open,High,Low,Close,Adj Close,Volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,Margin_Gross,Margin_Operating,Margin_Net_Profit,insider_acquisition,insider_disposal,mean_sentiment,mean_outlook
1983-07-01,0.0,0.6047859787940979,0.5950310230255127,0.5950310230255127,0.3468553125858307,3600861.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983-07-05,0.0,0.5755220055580139,0.5657669901847839,0.5657669901847839,0.3297965228557586,2037498.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983-07-06,0.0,0.6047859787940979,0.5852770209312439,0.5852770209312439,0.3411694765090942,771430.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983-07-07,0.0,0.5755220055580139,0.5657669901847839,0.5657669901847839,0.3297965228557586,840628.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983-07-08,0.0,0.5755220055580139,0.5560129880905151,0.5560129880905151,0.3241109251976013,258852.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983-07-11,0.0,0.5755220055580139,0.5560129880905151,0.5560129880905151,0.3241109251976013,189654.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983-07-12,0.0,0.5657669901847839,0.5560129880905151,0.5560129880905151,0.3241109251976013,302421.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983-07-13,0.0,0.5657669901847839,0.5462579727172852,0.5462579727172852,0.3184244334697723,251163.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983-07-14,0.0,0.5462579727172852,0.5365039706230164,0.5365039706230164,0.3127387166023254,107641.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983-07-15,0.0,0.5267490148544312,0.5072399973869324,0.5072399973869324,0.2956800758838653,389559.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983-07-18,0.0,0.5169939994812012,0.4974850118160248,0.4974850118160248,0.2899938225746155,158899.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983-07-19,0.0,0.5169939994812012,0.4974850118160248,0.4974850118160248,0.2899938225746155,333176.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983-07-20,0.0,0.5267490148544312,0.5072399973869324,0.5072399973869324,0.2956800758838653,412625.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983-07-21,0.0,0.5267490148544312,0.5072399973869324,0.5072399973869324,0.2956800758838653,297295.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983-07-22,0.0,0.5560129880905151,0.5267490148544312,0.5267490148544312,0.3070524036884308,220409.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983-07-25,0.0,0.5657669901847839,0.5462579727172852,0.5462579727172852,0.3184244334697723,176839.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983-07-26,0.0,0.5852770209312439,0.5657669901847839,0.5657669901847839,0.3297965228557586,389559.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983-07-27,0.0,0.5755220055580139,0.5560129880905151,0.5560129880905151,0.3241109251976013,374182.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983-07-28,0.5560129880905151,0.5560129880905151,0.5560129880905151,0.5560129880905151,0.3241109251976013,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983-07-29,0.0,0.5657669901847839,0.5462579727172852,0.5462579727172852,0.3184244334697723,146085.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983-08-01,0.0,0.5657669901847839,0.5560129880905151,0.5560129880905151,0.3241109251976013,212720.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983-08-02,0.0,0.5755220055580139,0.5560129880905151,0.5560129880905151,0.3241109251976013,51258.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983-08-03,0.0,0.5657669901847839,0.5560129880905151,0.5560129880905151,0.3241109251976013,115330.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983-08-04,0.0,0.5657669901847839,0.5462579727172852,0.5462579727172852,0.3184244334697723,99953.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983-08-05,0.0,0.5657669901847839,0.5462579727172852,0.5462579727172852,0.3184244334697723,23066.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983-08-08,0.0,0.5657669901847839,0.5365039706230164,0.5365039706230164,0.3127387166023254,51258.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983-08-09,0.0,0.5560129880905151,0.5365039706230164,0.5365039706230164,0.3127387166023254,20503.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983-08-10,0.0,0.5560129880905151,0.5365039706230164,0.5365039706230164,0.3127387166023254,25629.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983-08-11,0.0,0.5560129880905151,0.5365039706230164,0.5365039706230164,0.3127387166023254,69198.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983-08-12,0.0,0.5462579727172852,0.5267490148544312,0.5267490148544312,0.3070524036884308,274229.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983-08-15,0.0,0.5365039706230164,0.5169939994812012,0.5169939994812012,0.3013659119606018,43569.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983-08-16,0.0,0.5267490148544312,0.5072399973869324,0.5072399973869324,0.2956800758838653,33318.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983-08-17,0.0,0.5267490148544312,0.5072399973869324,0.5072399973869324,0.2956800758838653,30755.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983-08-18,0.0,0.5169939994812012,0.4974850118160248,0.4974850118160248,0.2899938225746155,43569.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983-08-19,0.0,0.5169939994812012,0.4974850118160248,0.4974850118160248,0.2899938225746155,17940.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983-08-22,0.0,0.5072399973869324,0.487731009721756,0.487731009721756,0.2843078672885895,84575.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983-08-23,0.0,0.4974850118160248,0.487731009721756,0.487731009721756,0.2843078672885895,135833.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983-08-24,0.0,0.4974850118160248,0.487731009721756,0.487731009721756,0.2843078672885895,41006.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983-08-25,0.0,0.4974850118160248,0.487731009721756,0.487731009721756,0.2843078672885895,115330.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983-08-26,0.0,0.4974850118160248,0.487731009721756,0.487731009721756,0.2843078672885895,58946.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983-08-29,0.0,0.4974850118160248,0.477975994348526,0.477975994348526,0.2786215245723724,66635.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983-08-30,0.0,0.487731009721756,0.4682210087776184,0.4682210087776184,0.2729351222515106,43569.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983-08-31,0.0,0.487731009721756,0.4682210087776184,0.4682210087776184,0.2729351222515106,23066.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983-09-01,0.0,0.487731009721756,0.4682210087776184,0.4682210087776184,0.2729351222515106,33318.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983-09-02,0.0,0.487731009721756,0.4682210087776184,0.4682210087776184,0.2729351222515106,35880.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983-09-06,0.0,0.487731009721756,0.4682210087776184,0.4682210087776184,0.2729351222515106,23066.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983-09-07,0.0,0.477975994348526,0.4682210087776184,0.4682210087776184,0.2729351222515106,92264.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983-09-08,0.0,0.477975994348526,0.4682210087776184,0.4682210087776184,0.2729351222515106,51258.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
