,Close_diff_MA_7,Volume_diff_MA_7,Close_diff_MA_30,Volume_diff_MA_30,Close_diff_MA_90,Volume_diff_MA_90,Close_diff_MA_180,Volume_diff_MA_180,price_change_term_7,price_change_term_30,price_change_term_120,price_change_term_240,Symbol,Close,Volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,Margin_Gross,Margin_Operating,Margin_Net_Profit,insider_acquisition,insider_disposal,mean_sentiment,mean_outlook,^VIX,SPY,CL=F,BZ=F,BTC=F,10year,5year,3year,2year
1996-02-15,-0.062058716503947856,-0.533210816487267,-0.10937446177007824,-0.14640976811918902,-0.13853852643747977,-0.31730625653277583,-0.1481513064475532,-0.5601477718771646,-0.09473742371413463,0.11578875681746204,0.3263149373490586,0.8315777706248904,RMD,0.7421879768371582,406400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.1299991607666,65.203125,32.04999923706055,75.73999786376953,19100.0,6.27,5.97,6.27,5.66
1996-02-16,-0.047277491480000905,-0.8030262808601009,-0.10909607129562174,-0.6467059215642706,-0.13671192733878396,-0.7139773340528872,-0.14853305668763633,-0.7985812009120851,-0.06315785415947894,0.17894661097694087,0.2210518470832603,0.8947356247843694,RMD,0.7421879768371582,169600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.369999885559082,64.9375,32.04999923706055,75.73999786376953,19100.0,6.27,5.97,6.27,5.66
1996-02-20,-0.07624649965231446,-0.8625265392781316,-0.15227634386902272,-0.7553449415913599,-0.1800789908197235,-0.8001560343275521,-0.19366882407554847,-0.8549177649493519,-0.0444444444444444,0.1777777777777778,0.45555623372395826,1.0,RMD,0.703125,118400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.799999237060547,64.296875,32.04999923706055,75.73999786376953,19100.0,6.27,5.97,6.27,5.66
1996-02-21,-0.054054227435279316,-0.9146341463414634,-0.14638006838522846,-0.8092761161681837,-0.1779988127690101,-0.8808700099274992,-0.19398976786729308,-0.9108840705276068,-0.06666666666666665,0.24444444444444446,0.46666666666666656,0.9444451226128472,RMD,0.703125,70400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.470000267028809,65.09375,32.04999923706055,75.73999786376953,19100.0,6.27,5.97,6.27,5.66
1996-02-22,-0.086021106157358,-0.5872420262664165,-0.18737997684476515,-0.07368421052631578,-0.22169038959870568,-0.40132434311976545,-0.23888117527171054,-0.5400536604062859,0.09411757947669219,0.24705792806617066,0.5999988511037662,1.117645538225573,RMD,0.6640629768371582,352000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.5600004196167,66.125,32.04999923706055,75.73999786376953,19100.0,6.27,5.97,6.27,5.66
1996-02-23,-0.05494532660075195,1.771356783919598,-0.17095122185234152,3.0872035573122525,-0.21060686764560246,1.9503373257645553,-0.22977412558895677,1.4013643290839162,0.10465187250181684,0.30232558139534893,0.6046511627906976,1.0930232558139537,RMD,0.671875,1764800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.779999732971191,65.9375,32.04999923706055,75.73999786376953,19100.0,6.27,5.97,6.27,5.66
1996-02-26,-0.03987268868351102,-0.040728318160038315,-0.16504860965875542,0.041514930808448654,-0.20866990472269625,-0.23237504473338907,-0.22962080104318297,-0.356355179915481,0.11627906976744184,0.2325581395348837,0.6860472213390261,1.2093023255813953,RMD,0.671875,457600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.3799991607666,65.0,32.04999923706055,75.73999786376953,19100.0,6.27,5.97,6.27,5.66
1996-02-27,-0.025890160048369904,-0.8651685393258427,-0.1585127871628226,-0.8640825572615153,-0.20647942286199658,-0.9018479248712511,-0.22939069973487022,-0.9161295332763842,0.10465187250181684,0.30232558139534893,0.8139534883720929,1.255813953488372,RMD,0.671875,57600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.6299991607666,64.796875,32.04999923706055,75.73999786376953,19100.0,6.27,5.97,6.27,5.66
1996-02-28,0.017974351277200283,-0.08530571992110457,-0.1248765768639091,-0.022260484565244085,-0.17651843925827265,-0.2593167701863355,-0.20254813339266609,-0.37355536877495266,0.06741568410419307,0.2808979979796691,0.8202234708132141,1.1573018913341797,RMD,0.6953129768371582,424000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.719999313354492,64.5,32.04999923706055,75.73999786376953,19100.0,6.27,5.97,6.27,5.66
1996-02-29,-0.009868619844814155,2.7649006622516556,-0.14823382632499427,5.899969657125519,-0.20181502949586577,4.938887437973361,-0.22935233849402126,4.419805886948347,0.11627906976744184,0.34883720930232553,0.930232558139535,1.2325581395348837,RMD,0.671875,3638400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.040000915527344,63.875,32.04999923706055,75.73999786376953,19100.0,6.27,5.97,6.27,5.66
