Date,Open,High,Low,Close,Adj Close,Volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,Margin_Gross,Margin_Operating,Margin_Net_Profit,insider_acquisition,insider_disposal,mean_sentiment,mean_outlook
1994-10-31,23.375,24.25,23.375,23.75,11.656517028808594,32800.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1994-11-01,23.75,23.75,23.375,23.375,11.472461700439451,13200.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1994-11-02,23.375,23.75,23.25,23.75,11.656517028808594,7000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1994-11-03,23.75,23.875,23.625,23.625,11.595162391662598,5400.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1994-11-04,23.625,23.75,23.125,23.125,11.349766731262209,9800.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1994-11-07,23.125,23.25,23.0,23.25,11.41110610961914,7200.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1994-11-08,23.25,23.25,23.0,23.0,11.288411140441896,2200.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1994-11-09,23.125,23.25,23.125,23.125,11.349766731262209,5600.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1994-11-10,23.125,23.125,23.0,23.125,11.349766731262209,82800.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1994-11-11,23.125,23.25,23.0,23.125,11.349766731262209,16400.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1994-11-14,23.125,23.25,23.0,23.125,11.349766731262209,54600.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1994-11-15,23.0,23.0,23.0,23.0,11.288411140441896,1800.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1994-11-16,23.0,23.125,23.0,23.125,11.349766731262209,4600.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1994-11-17,23.125,23.875,23.0,23.875,11.717862129211426,10600.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1994-11-18,23.875,23.875,23.5,23.625,11.595162391662598,8400.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1994-11-21,23.625,23.875,23.5,23.75,11.656517028808594,7000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1994-11-22,23.75,24.0,23.5,23.5,11.533814430236816,14800.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1994-11-23,23.5,23.625,23.5,23.625,11.595162391662598,8000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1994-11-25,23.5,23.5,23.5,23.5,11.533814430236816,2000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1994-11-28,23.5,23.75,23.5,23.5,11.533814430236816,1400.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1994-11-29,23.5,23.5,23.375,23.375,11.472461700439451,1800.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1994-11-30,23.375,23.625,23.375,23.375,11.472461700439451,6000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1994-12-01,23.375,23.5,22.75,22.75,11.165712356567385,35400.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1994-12-02,22.75,22.75,22.625,22.75,11.165712356567385,12600.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1994-12-05,22.75,22.75,22.625,22.625,11.104363441467283,5400.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1994-12-06,22.5,22.5,22.125,22.125,10.858962059020996,16000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1994-12-07,22.125,22.25,21.875,22.125,10.858962059020996,11600.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
