Date,Open,High,Low,Close,Adj Close,Volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,Margin_Gross,Margin_Operating,Margin_Net_Profit,insider_acquisition,insider_disposal,mean_sentiment,mean_outlook
1998-06-29,14.125,14.4375,13.96875,14.28125,5.5121846199035645,12615000,0.45,0.41,0.04,9.7561,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-06-30,14.21875,14.21875,13.875,13.90625,5.367444038391113,3075200,0.45,0.41,0.04,9.7561,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-07-01,13.875,14.0,13.5625,13.9375,5.379506587982178,1186200,0.45,0.41,0.04,9.7561,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-07-02,13.875,13.875,13.625,13.84375,5.343320846557617,1127200,0.45,0.41,0.04,9.7561,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-07-06,13.84375,13.84375,13.5625,13.59375,5.246829032897949,1233600,0.45,0.41,0.04,9.7561,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-07-07,13.59375,13.625,13.46875,13.53125,5.2227044105529785,1247000,0.45,0.41,0.04,9.7561,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-07-08,13.53125,13.625,13.5,13.625,5.258889675140381,784600,0.45,0.41,0.04,9.7561,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-07-09,13.5625,13.59375,13.375,13.5,5.2106428146362305,586200,0.45,0.41,0.04,9.7561,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-07-10,13.5,13.5,13.15625,13.5,5.2106428146362305,768600,0.45,0.41,0.04,9.7561,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-07-13,13.375,13.46875,13.15625,13.4375,5.186518669128418,771000,0.45,0.41,0.04,9.7561,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-07-14,13.40625,13.5625,13.25,13.5,5.2106428146362305,1336800,0.45,0.41,0.04,9.7561,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-07-15,13.4375,13.46875,13.28125,13.46875,5.198580741882324,465600,0.45,0.41,0.04,9.7561,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-07-16,13.40625,13.4375,13.25,13.3125,5.138272285461426,807200,0.45,0.41,0.04,9.7561,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-07-17,13.3125,13.3125,13.15625,13.25,5.114147663116455,1087000,0.45,0.41,0.04,9.7561,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-07-20,13.15625,13.1875,13.0,13.15625,5.0779619216918945,1084000,0.45,0.41,0.04,9.7561,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-07-21,13.09375,13.15625,12.9375,13.0,5.017657279968262,437600,0.45,0.41,0.04,9.7561,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-07-22,13.03125,13.03125,12.875,13.03125,5.0297160148620605,1013000,0.45,0.41,0.04,9.7561,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-07-23,13.03125,13.1875,13.03125,13.15625,5.0779619216918945,892400,0.45,0.44,0.01,2.2727,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-07-24,13.0625,13.09375,13.0,13.0625,5.041778564453125,1031600,0.45,0.44,0.01,2.2727,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-07-27,13.0,13.125,12.90625,13.09375,5.053840637207031,769600,0.45,0.44,0.01,2.2727,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-07-28,13.03125,13.09375,12.6875,12.875,4.969406604766846,1633800,0.45,0.44,0.01,2.2727,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-07-29,12.78125,12.875,12.53125,12.75,4.92116117477417,1044400,0.45,0.44,0.01,2.2727,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-07-30,12.6875,12.96875,12.65625,12.875,4.969406604766846,935800,0.45,0.44,0.01,2.2727,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-07-31,12.875,12.875,12.5,12.59375,4.860853672027588,773600,0.45,0.44,0.01,2.2727,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-08-03,12.5,12.5625,12.28125,12.4375,4.800544261932373,1298400,0.45,0.44,0.01,2.2727,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-08-04,12.34375,12.34375,11.875,12.03125,4.643744945526123,1235200,0.45,0.44,0.01,2.2727,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-08-05,12.125,12.5625,12.0625,12.5625,4.848791599273682,1002600,0.45,0.44,0.01,2.2727,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-08-06,12.5625,12.5625,12.25,12.375,4.776423931121826,1137000,0.45,0.44,0.01,2.2727,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-08-07,12.3125,12.40625,12.125,12.21875,4.71611213684082,703000,0.45,0.44,0.01,2.2727,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-08-10,12.25,12.5,12.25,12.375,4.776423931121826,1498800,0.45,0.44,0.01,2.2727,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-08-11,12.25,12.28125,12.0,12.09375,4.667869567871094,716800,0.45,0.44,0.01,2.2727,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-08-12,12.09375,12.5625,12.0625,12.5625,4.848791599273682,798000,0.45,0.44,0.01,2.2727,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-08-13,12.4375,12.53125,12.34375,12.46875,4.812608242034912,413000,0.45,0.44,0.01,2.2727,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-08-14,12.34375,12.4375,12.25,12.375,4.776423931121826,391400,0.45,0.44,0.01,2.2727,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-08-17,12.5,12.65625,12.40625,12.625,4.872916221618652,1041000,0.45,0.44,0.01,2.2727,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-08-18,12.59375,12.625,12.375,12.5,4.824670314788818,901800,0.45,0.44,0.01,2.2727,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-08-19,12.46875,12.46875,12.3125,12.4375,4.800544261932373,605400,0.45,0.44,0.01,2.2727,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-08-20,12.5,12.5625,12.4375,12.53125,4.836731433868408,1263800,0.45,0.44,0.01,2.2727,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-08-21,12.4375,12.625,12.40625,12.625,4.872916221618652,918000,0.45,0.44,0.01,2.2727,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-08-24,12.6875,12.8125,12.65625,12.6875,4.897037506103516,755800,0.45,0.44,0.01,2.2727,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-08-25,12.71875,12.875,12.6875,12.875,4.969406604766846,1171600,0.45,0.44,0.01,2.2727,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-08-26,12.8125,12.84375,12.75,12.8125,4.945283889770508,692000,0.45,0.44,0.01,2.2727,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-08-27,12.8125,12.9375,12.78125,12.78125,4.933223724365234,1447200,0.45,0.44,0.01,2.2727,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-08-28,12.8125,12.8125,12.71875,12.8125,4.945283889770508,692200,0.45,0.44,0.01,2.2727,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-08-31,12.78125,12.78125,12.4375,12.71875,4.909099102020264,2624200,0.45,0.44,0.01,2.2727,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-09-01,12.59375,12.65625,12.28125,12.65625,4.884974479675293,892000,0.45,0.44,0.01,2.2727,0.0,0.0,0.0,0.0,0.0,0.0,0.0
