,Close_diff_MA_7,Volume_diff_MA_7,Close_diff_MA_30,Volume_diff_MA_30,Close_diff_MA_90,Volume_diff_MA_90,Close_diff_MA_180,Volume_diff_MA_180,price_change_term_7,price_change_term_30,price_change_term_120,price_change_term_240,Symbol,Close,Volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,Margin_Gross,Margin_Operating,Margin_Net_Profit,insider_acquisition,insider_disposal,mean_sentiment,mean_outlook,^VIX,SPY,CL=F,BZ=F,BTC=F,10year,5year,3year,2year
1999-03-16,0.024317406143344784,1.8046913915681744,-0.005412719891745624,4.104836266953858,-0.11070780399274044,6.257862753005995,-0.14696657778023403,5.699456413718693,-0.06997084548104959,-0.008746355685131157,0.05247813411078717,-0.12536443148688048,SRE,10.71875,7078400.0,0.37,0.42,-0.05,-11.9048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.149999618530273,130.71875,32.04999923706055,75.73999786376953,19100.0,5.18,5.08,5.18,4.98
1999-03-17,0.0,-0.6052503646086533,-0.029445951181712494,-0.28090535572695163,-0.13164052344223934,0.019202564579918306,-0.16793533921997394,0.0056226339015702795,-0.041916167664670656,0.011976047904191711,0.05688622754491024,-0.13173652694610782,SRE,10.4375,997600.0,0.37,0.42,-0.05,-11.9048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.56999969482422,130.15625,32.04999923706055,75.73999786376953,19100.0,5.18,5.08,5.18,4.98
1999-03-18,-0.011130136986301394,-0.5946694120338596,-0.03780736709106806,-0.27410565763560923,-0.13965412357695314,0.030015554912458428,-0.17658963944606942,0.03246890106129587,-0.036363636363636376,0.0060606060606061,0.06363636363636371,-0.12727272727272732,SRE,10.3125,1012400.0,0.37,0.42,-0.05,-11.9048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.1299991607666,132.25,32.04999923706055,75.73999786376953,19100.0,5.18,5.08,5.18,4.98
1999-03-19,-0.022279348757497906,-0.5961188599151,-0.04622586307782332,-0.33753943217665616,-0.1476381383998605,-0.05516385671854203,-0.1852150127049806,-0.04774765471717599,-0.05521472392638038,0.024539877300613577,0.09202453987730053,-0.1165644171779141,SRE,10.1875,932400.0,0.37,0.42,-0.05,-11.9048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.31999969482422,129.6875,32.04999923706055,75.73999786376953,19100.0,5.18,5.08,5.18,4.98
1999-03-22,-0.01885983711958849,-0.5209708991256687,-0.0407744206512173,-0.26123850087578826,-0.142582449597949,0.055824754030147285,-0.18139716006286247,0.07160737700730553,-0.061162079510703404,0.02752293577981657,0.09480122324159024,-0.1406727828746177,SRE,10.21875,1048800.0,0.37,0.42,-0.05,-11.9048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,129.9375,32.04999923706055,75.73999786376953,19100.0,5.18,5.08,5.18,4.98
1999-03-23,-0.0336496980155307,-0.3652283935529324,-0.05743740795287187,-0.12501618542017356,-0.1583377169910573,0.2696669425369629,-0.19763748815958093,0.2886272622431281,-0.03749999999999998,0.04062499999999991,0.11874999999999991,-0.11875000000000002,SRE,10.0,1261400.0,0.37,0.42,-0.05,-11.9048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.270000457763672,126.1875,32.04999923706055,75.73999786376953,19100.0,5.18,5.08,5.18,4.98
1999-03-24,-0.007802340702210614,-0.18582485308872004,-0.033973412112259974,0.09340543356703036,-0.13755714453170792,0.6142793044685266,-0.1788733573281996,0.6545017126080575,-0.05810397553516822,0.00917431192660545,0.08256880733944949,-0.14984709480122327,SRE,10.21875,1623000.0,0.37,0.42,-0.05,-11.9048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.600000381469727,126.90625,32.04999923706055,75.73999786376953,19100.0,5.18,5.08,5.18,4.98
1999-03-25,-0.021901007446342605,-0.046989647200723635,-0.05462807468141856,-0.278254382693025,-0.15605984890796318,0.07326328207882306,-0.19765248375602595,0.10276482740606471,-0.040752351097178674,0.037617554858934144,0.11912225705329149,-0.13479623824451414,SRE,9.96875,1083600.0,0.37,0.42,-0.05,-11.9048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.329999923706055,129.5,32.04999923706055,75.73999786376953,19100.0,5.18,5.08,5.18,4.98
1999-03-26,-0.012780960775672177,0.13668303012802005,-0.04903417533432392,-0.11761629123369827,-0.15081822202565232,0.3348719132240941,-0.19387569451247672,0.36756678856442865,-0.07499999999999996,0.05624999999999991,0.09687500000000004,-0.15000000000000002,SRE,10.0,1349600.0,0.37,0.42,-0.05,-11.9048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.040000915527344,128.5625,32.04999923706055,75.73999786376953,19100.0,5.18,5.08,5.18,4.98
1999-03-29,-0.013735046521931818,0.41902431564459397,-0.05234925995827951,0.1855773285007901,-0.1535549509050041,0.8072101432809853,-0.19763383282636426,0.8690662166577888,-0.047169811320754707,0.07861635220125796,0.10377358490566047,-0.14150943396226412,SRE,9.9375,1855800.0,0.37,0.42,-0.05,-11.9048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.540000915527344,131.15625,32.04999923706055,75.73999786376953,19100.0,5.18,5.08,5.18,4.98
