,Close_diff_MA_7,Volume_diff_MA_7,Close_diff_MA_30,Volume_diff_MA_30,Close_diff_MA_90,Volume_diff_MA_90,Close_diff_MA_180,Volume_diff_MA_180,price_change_term_7,price_change_term_30,price_change_term_120,price_change_term_240,Symbol,Close,Volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,Margin_Gross,Margin_Operating,Margin_Net_Profit,insider_acquisition,insider_disposal,mean_sentiment,mean_outlook,^VIX,SPY,CL=F,BZ=F,BTC=F,10year,5year,3year,2year
2008-06-13,-0.024139547953086368,0.28724261941643797,-0.02683529333479949,0.5328544316860391,0.016958644053141535,0.5877913014761158,-0.02237744189704261,0.5131994975879501,-0.05592371616628933,-0.0811930047236511,-0.42584921263003006,-0.11391880983970681,TDC,24.13999938964844,2030000.0,0.23,0.25,-0.02,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.219999313354492,136.14999389648438,134.86000061035156,135.11000061035156,19100.0,4.01,3.3,4.01,2.57
2008-06-16,-0.01878728349706516,-0.2823037276323908,-0.036449923886512255,-0.14818388794234277,0.008671184743632312,-0.11440897896339226,-0.03527044747699534,-0.16167432658024358,-0.02881004225792483,-0.03883090920877452,-0.44968685238746686,-0.09812109839704675,TDC,23.950000762939453,1129900.0,0.23,0.25,-0.02,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.950000762939453,136.22999572753906,134.61000061035156,134.7100067138672,19100.0,4.01,3.3,4.01,2.57
2008-06-17,-0.02345779583214815,-0.16945713281799019,-0.051413550476553986,0.0018146935788526967,-0.005815645023245869,0.05501000221307099,-0.053964387790016215,-0.0034010273176646798,-0.03261331799483602,-0.02329526176157881,-0.422278695861514,-0.03896654182594883,TDC,23.61000061035156,1350700.0,0.23,0.25,-0.02,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.1299991607666,135.57000732421875,134.00999450683594,133.72000122070312,19100.0,4.01,3.3,4.01,2.57
2008-06-18,-0.01575558062817694,0.03608552145425885,-0.05395459624899571,0.3021055292715519,-0.00833869844544987,0.3970748425262957,-0.055038127373328735,0.3203455100619144,-0.01315787236712418,-0.005942249270880384,-0.3938879432652822,-0.025891286792460444,TDC,23.559999465942383,1802700.0,0.23,0.25,-0.02,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.239999771118164,134.25,136.67999267578125,136.44000244140625,19100.0,4.01,3.3,4.01,2.57
2008-06-19,-0.007638652492264862,-0.06787948685540955,-0.05418602150392521,0.24279026332280704,-0.008367629906760307,0.29680647099701946,-0.053797892706675066,0.24367609645410535,-0.018243543094750292,-0.05006365381646127,-0.38735681937432487,-0.03775983882782463,TDC,23.56999969482422,1685700.0,0.23,0.25,-0.02,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.579999923706055,134.4199981689453,131.92999267578125,132.0,19100.0,4.01,3.3,4.01,2.57
2008-06-20,-0.020558734130373065,-0.2663763320102532,-0.07114283535829533,-0.05210759063453863,-0.027090690252279167,-0.03909723611090483,-0.07035296370947186,-0.09718928623592143,-0.010803803223600639,-0.031114923610438106,-0.36171128576732137,-0.0017285656540081407,TDC,23.13999938964844,1222500.0,0.23,0.25,-0.02,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.8700008392334,131.5800018310547,134.6199951171875,134.86000061035156,19100.0,4.01,3.3,4.01,2.57
2008-06-23,-0.0116750251289231,-0.1421679639180162,-0.06295166048718706,0.0037957023608177517,-0.018755105398490332,0.02642505904261967,-0.06155134529822324,-0.04292515088599461,-0.0389888535331141,-0.03041992232988766,-0.36546699559577345,0.032133675882467516,TDC,23.34000015258789,1287900.0,0.23,0.25,-0.02,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.63999938964844,131.4499969482422,136.74000549316406,135.91000366210938,19100.0,4.01,3.3,4.01,2.57
2008-06-24,-0.02701875186833441,0.2963859821076806,-0.08368399659327602,0.4753094452567037,-0.041559935311608814,0.5315371792245586,-0.08277226463725913,0.43768573847608144,0.0004387152756273327,0.004387822295038424,-0.3453269207142239,0.02764366544353103,TDC,22.790000915527344,1927300.0,0.23,0.25,-0.02,-8.0,0.0,0.0,0.0,0.0,6.407187381404096e-06,0.0,0.0,22.420000076293945,131.19000244140625,137.0,136.4600067138672,19100.0,4.01,3.3,4.01,2.57
2008-06-25,-0.002756163743058488,0.03492463003959102,-0.06383320951014487,0.21042947245981536,-0.021583669126983746,0.2744533061177805,-0.06301612045353369,0.20374198346729716,-0.04858130081667489,0.04901115126529132,-0.3899398348774028,0.03611350577481365,TDC,23.260000228881836,1609500.0,0.23,0.25,-0.02,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.13999938964844,131.80999755859375,134.5500030517578,134.3300018310547,19100.0,4.01,3.3,4.01,2.57
2008-06-26,-0.01612307035006014,-0.23294207729874597,-0.07913127704193051,-0.11242827321225084,-0.03849571693531066,-0.06797355397572843,-0.07900543376122357,-0.11598570544323968,0.007880923991823385,0.10113832970708847,-0.3423817706909329,0.04597194527345838,TDC,22.84000015258789,1173500.0,0.23,0.25,-0.02,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.93000030517578,128.22999572753906,139.63999938964844,139.8300018310547,19100.0,4.01,3.3,4.01,2.57
