Date,Open,High,Low,Close,Adj Close,Volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,Margin_Gross,Margin_Operating,Margin_Net_Profit,insider_acquisition,insider_disposal,mean_sentiment,mean_outlook
1975-11-17,0.0,8.71875,8.71875,8.71875,3.0256755352020264,53200.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1975-11-18,0.0,8.96875,8.96875,8.96875,3.112431764602661,106800.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1975-11-19,0.0,8.5625,8.5625,8.5625,2.9714527130126953,170400.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1975-11-20,0.0,8.4375,8.4375,8.4375,2.928072690963745,61200.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1975-11-21,0.0,8.4375,8.4375,8.4375,2.928072690963745,64000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1975-11-24,0.0,8.40625,8.40625,8.40625,2.9172284603118896,88400.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1975-11-25,0.0,8.375,8.375,8.375,2.9063844680786133,75200.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1975-11-26,0.0,8.4375,8.4375,8.4375,2.928072690963745,89200.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1975-11-28,0.0,8.5,8.5,8.5,2.9497628211975098,95600.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1975-12-01,0.0,8.25,8.25,8.25,2.863003969192505,102400.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1975-12-02,0.0,7.875,7.875,7.875,2.732868194580078,78400.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1975-12-03,0.0,7.5,7.5,7.5,2.6027300357818604,86400.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1975-12-04,0.0,7.5,7.5,7.5,2.6027300357818604,48800.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1975-12-05,0.0,7.4375,7.4375,7.4375,2.581043004989624,62800.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1975-12-08,0.0,7.4375,7.4375,7.4375,2.581043004989624,87600.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1975-12-09,0.0,7.4375,7.4375,7.4375,2.581043004989624,158800.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1975-12-10,0.0,7.46875,7.46875,7.46875,2.5918874740600586,99600.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1975-12-11,0.0,7.5,7.5,7.5,2.6027300357818604,62400.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1975-12-12,0.0,7.875,7.875,7.875,2.732868194580078,116400.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1975-12-15,0.0,7.84375,7.84375,7.84375,2.7220239639282227,170800.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1975-12-16,0.0,7.96875,7.96875,7.96875,2.7654011249542236,110400.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1975-12-17,0.0,8.03125,8.03125,8.03125,2.7870917320251465,92800.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1975-12-18,0.0,8.0625,8.0625,8.0625,2.79793643951416,81200.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1975-12-19,0.0,8.0,8.0,8.0,2.7762467861175537,130800.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1975-12-22,0.0,8.0,8.0,8.0,2.7762467861175537,67200.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1975-12-23,0.0,8.03125,8.03125,8.03125,2.7870917320251465,59600.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1975-12-24,0.0,7.8125,7.8125,7.8125,2.7111783027648926,135200.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1975-12-26,0.0,7.84375,7.84375,7.84375,2.7220239639282227,46800.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1975-12-29,0.0,7.75,7.75,7.75,2.6894898414611816,52800.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1975-12-30,0.0,7.71875,7.71875,7.71875,2.678643703460694,54000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1975-12-31,0.0,7.71875,7.71875,7.71875,2.678643703460694,34800.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1976-01-02,0.0,7.875,7.875,7.875,2.732868194580078,71600.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1976-01-05,0.0,7.96875,7.96875,7.96875,2.7654011249542236,104400.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1976-01-06,0.0,8.3125,8.3125,8.3125,2.8846940994262695,132800.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1976-01-07,0.0,8.125,8.125,8.125,2.81962513923645,120000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1976-01-08,0.0,8.125,8.125,8.125,2.81962513923645,85200.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1976-01-09,0.0,8.125,8.125,8.125,2.81962513923645,59600.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1976-01-12,0.0,8.125,8.125,8.125,2.81962513923645,48800.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1976-01-13,0.0,8.03125,8.03125,8.03125,2.7870917320251465,112400.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1976-01-14,0.0,8.125,8.125,8.125,2.81962513923645,90000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1976-01-15,0.0,8.0,8.0,8.0,2.7762467861175537,174000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1976-01-16,0.0,8.0,8.0,8.0,2.7762467861175537,14400.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1976-01-19,0.0,8.03125,8.03125,8.03125,2.7870917320251465,56000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1976-01-20,0.0,8.0625,8.0625,8.0625,2.79793643951416,59200.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1976-01-21,0.0,8.0,8.0,8.0,2.7762467861175537,62000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1976-01-22,0.0,7.9375,7.9375,7.9375,2.7545580863952637,52800.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1976-01-23,0.0,7.875,7.875,7.875,2.732868194580078,42800.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
