Date,Open,High,Low,Close,Adj Close,Volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,Margin_Gross,Margin_Operating,Margin_Net_Profit,insider_acquisition,insider_disposal,mean_sentiment,mean_outlook
1973-02-21,0.0,3.359375,3.3125,3.34375,1.6135244369506836,87200.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-02-22,0.0,3.375,3.3125,3.359375,1.6210631132125854,53600.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-02-23,0.0,3.375,3.34375,3.34375,1.6135244369506836,35200.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-02-26,0.0,3.328125,3.3125,3.3125,1.598444581031799,37600.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-02-27,0.0,3.328125,3.296875,3.3125,1.598444581031799,37600.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-02-28,0.0,3.296875,3.265625,3.265625,1.5758254528045654,60800.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-03-01,0.0,3.296875,3.25,3.265625,1.5758254528045654,37600.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-03-02,0.0,3.28125,3.265625,3.265625,1.5758254528045654,45600.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-03-05,0.0,3.3125,3.265625,3.296875,1.5909051895141602,64800.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-03-06,0.0,3.3125,3.265625,3.296875,1.5909051895141602,34400.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-03-07,0.0,3.328125,3.265625,3.328125,1.605984091758728,63200.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-03-08,0.0,3.34375,3.265625,3.28125,1.5833643674850464,92800.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-03-09,0.0,3.328125,3.265625,3.265625,1.5758254528045654,428000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-03-12,0.0,3.21875,3.1875,3.1875,1.55238676071167,32800.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-03-13,0.0,3.203125,3.15625,3.203125,1.5599968433380127,71200.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-03-14,0.0,3.171875,3.109375,3.109375,1.5143375396728516,60000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-03-15,0.0,3.109375,3.0,3.0,1.4610695838928225,86400.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-03-16,0.0,3.03125,2.984375,3.0,1.4610695838928225,78400.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-03-19,0.0,3.0,2.984375,3.0,1.4610695838928225,36800.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-03-20,0.0,3.0625,2.984375,3.03125,1.4762898683547974,136000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-03-21,0.0,3.03125,2.984375,2.984375,1.453460931777954,22400.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-03-22,0.0,2.984375,2.828125,2.90625,1.4154118299484253,220800.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-03-23,0.0,2.84375,2.75,2.78125,1.3545328378677368,256000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-03-26,0.0,2.828125,2.671875,2.734375,1.3317039012908936,91200.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-03-27,0.0,3.171875,2.84375,2.890625,1.4078011512756348,139200.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-03-28,0.0,3.0,2.9375,3.0,1.4610695838928225,87200.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-03-29,0.0,3.09375,2.953125,3.09375,1.5067287683486938,102400.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-03-30,0.0,3.09375,2.984375,3.03125,1.4762898683547974,69600.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-04-02,0.0,3.0625,2.96875,3.0625,1.4915084838867188,40800.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-04-03,0.0,3.0625,3.046875,3.0625,1.4915084838867188,52000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-04-04,0.0,3.3125,3.03125,3.03125,1.4762898683547974,40800.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-04-05,0.0,3.015625,2.984375,3.0,1.4610695838928225,113600.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-04-06,0.0,2.984375,2.9375,2.9375,1.4306309223175049,48800.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-04-09,0.0,2.890625,2.828125,2.859375,1.3925825357437134,54400.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-04-10,0.0,2.890625,2.828125,2.828125,1.377362847328186,63200.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-04-11,0.0,2.84375,2.8125,2.8125,1.3697521686553955,44000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-04-12,0.0,2.84375,2.78125,2.828125,1.377362847328186,106400.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-04-13,0.0,2.859375,2.78125,2.8125,1.3697521686553955,69600.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-04-16,0.0,2.828125,2.75,2.828125,1.377362847328186,48800.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-04-17,0.0,2.890625,2.765625,2.875,1.4001924991607666,80000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
