,Close_diff_MA_7,Volume_diff_MA_7,Close_diff_MA_30,Volume_diff_MA_30,Close_diff_MA_90,Volume_diff_MA_90,Close_diff_MA_180,Volume_diff_MA_180,price_change_term_7,price_change_term_30,price_change_term_120,price_change_term_240,Symbol,Close,Volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,Margin_Gross,Margin_Operating,Margin_Net_Profit,insider_acquisition,insider_disposal,mean_sentiment,mean_outlook,^VIX,SPY,CL=F,BZ=F,BTC=F,10year,5year,3year,2year
2018-09-13,0.007912185933565732,0.2681313969102993,0.028001001759748408,0.6429215909342877,0.03417307968240605,0.18505553486861417,0.06584464224103277,0.181755686574568,0.007579338834014848,0.019422067056268366,-0.008053058805246094,-0.005210829330702049,VICI,21.11000061035156,3210800.0,0.38,0.37,0.01,2.7027,0.7868310894897613,0.8573277520081457,0.629229550854169,0.0,0.0,0.0,0.0,12.369999885559082,290.8299865722656,68.58999633789062,78.18000030517578,6435.0,3.15,3.0,3.15,2.86
2018-09-14,0.012994990257572524,0.3637229879190063,0.0330759332388764,1.0756114489345612,0.040663241782604,0.4798692045052146,0.06755375893961864,0.46292550622872114,0.0014103798143514368,0.033380304146326534,-0.0051716317811084656,0.019275967963717555,VICI,21.270000457763672,4007300.0,0.38,0.37,0.01,2.7027,0.7868310894897613,0.8573277520081457,0.629229550854169,0.0,0.0,0.0,0.0,12.06999969482422,290.8800048828125,68.98999786376953,78.08999633789062,6525.0,3.15,3.0,3.15,2.86
2018-09-17,0.019974288439438527,0.32686325022507867,0.04187849938373238,1.14266641364057,0.051522902208247845,0.5598233650138517,0.07967391041764009,0.540633829334073,-0.019981426395400126,0.013011095415467855,-0.0023234732037907824,0.012081794765391729,VICI,21.520000457763672,4252900.0,0.38,0.37,0.01,2.7027,0.7868310894897613,0.8573277520081457,0.629229550854169,0.0,0.0,0.0,0.0,13.68000030517578,289.3399963378906,68.91000366210938,78.05000305175781,6230.0,3.15,3.0,3.15,2.86
2018-09-18,0.018524768563256067,0.01585580304806565,0.042638792365914835,0.7282339879535694,0.05394417256238513,0.2613270116501784,0.08325278342894295,0.24749036486060907,-0.020833368286673815,-0.0023148677558392228,-0.00648154141317403,0.009259206113829244,VICI,21.600000381469727,3466100.0,0.38,0.37,0.01,2.7027,0.7868310894897613,0.8573277520081457,0.629229550854169,0.0,0.0,0.0,0.0,12.789999961853027,290.9100036621094,69.8499984741211,79.02999877929688,6275.0,3.15,3.0,3.15,2.86
2018-09-19,0.010071833005960412,0.7932359262781866,0.034615556992050295,2.1826781128658084,0.04733332115881898,1.4556255259411106,0.07734897535149617,1.4312198565850127,0.00604937503489178,0.000930686736932973,-0.0004653433684664865,0.027454637453316,VICI,21.489999771118164,6841400.0,0.38,0.37,0.01,2.7027,0.7868310894897613,0.8573277520081457,0.629229550854169,0.0,0.0,0.0,0.0,11.75,291.2200012207031,71.12000274658203,79.4000015258789,6375.0,3.15,3.0,3.15,2.86
2018-09-20,0.0037488248891297754,0.23954281896490015,0.029345808903092574,1.310097076729008,0.04275297965783231,0.8642496480098953,0.07347495746413943,0.8276083267563481,0.009337103745429065,0.00793651147004848,0.0,0.034547141385734115,VICI,21.420000076293945,5194800.0,0.38,0.37,0.01,2.7027,0.7868310894897613,0.8573277520081457,0.629229550854169,0.0,0.0,0.0,0.0,11.800000190734863,293.5799865722656,70.80000305175781,78.69999694824219,6400.0,3.15,3.0,3.15,2.86
2018-09-21,0.0011345440066528312,1.4812213258153224,0.027669894017588983,4.451487084857267,0.04223633023873704,4.087772600414053,0.07360846061933263,4.064635298703875,-0.008866100389729237,0.018198758007214932,0.005133019542001405,0.034064373860975605,VICI,21.43000030517578,14810800.0,0.38,0.37,0.01,2.7027,0.7868310894897613,0.8573277520081457,0.629229550854169,0.0,0.0,0.0,0.0,11.68000030517578,291.989990234375,70.77999877929688,78.80000305175781,6740.0,3.15,3.0,3.15,2.86
2018-09-24,-0.0073999912592571096,-0.2974172512874095,0.018174295484455705,0.5206660047137642,0.03357793688404607,0.47591696316599935,0.06527844331286317,0.4602903501280957,0.011753643376568368,0.007522324587149187,0.009873017393189798,0.04278325471685429,VICI,21.270000457763672,4303500.0,0.38,0.37,0.01,2.7027,0.7868310894897613,0.8573277520081457,0.629229550854169,0.0,0.0,0.0,0.0,12.199999809265137,291.0199890136719,72.08000183105469,81.19999694824219,6610.0,3.15,3.0,3.15,2.86
2018-09-25,-0.006198800393023333,-0.38643736004769524,0.01762931664558249,0.2827885183505778,0.03406420317269535,0.2727569489309715,0.066395159655726,0.25915413489468,0.0,0.010328696177619445,0.0042253594277741335,0.04178409994722099,VICI,21.299999237060547,3734300.0,0.38,0.37,0.01,2.7027,0.7868310894897613,0.8573277520081457,0.629229550854169,0.0,0.0,0.0,0.0,12.420000076293944,290.75,72.27999877929688,81.87000274658203,6355.0,3.15,3.0,3.15,2.86
2018-09-26,-0.013168444574405897,-0.38898725802382755,0.006010310533747141,0.2342633691954085,0.02313522440667309,0.24790939554689911,0.055561430740095515,0.22834512057369147,0.004741601742352497,0.03366520053749422,0.017069730097056812,0.057847288028814337,VICI,21.09000015258789,3667700.0,0.38,0.37,0.01,2.7027,0.7868310894897613,0.8573277520081457,0.629229550854169,0.0,0.0,0.0,0.0,12.890000343322754,289.8800048828125,71.56999969482422,81.33999633789062,6485.0,3.15,3.0,3.15,2.86
