Date,Open,High,Low,Close,Adj Close,Volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,Margin_Gross,Margin_Operating,Margin_Net_Profit,insider_acquisition,insider_disposal,mean_sentiment,mean_outlook
1973-02-21,0.0,1.1354169845581057,1.125,1.125,0.5590376853942871,4800,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-02-22,0.0,1.125,1.0677080154418943,1.1041669845581057,0.5486853122711182,72000,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-02-23,0.0,1.09375,1.09375,1.09375,0.5435085892677307,4800,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-02-26,0.0,1.1145830154418943,1.0885419845581057,1.09375,0.5435085892677307,50400,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-02-27,0.0,1.09375,1.0885419845581057,1.09375,0.5435085892677307,7200,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-02-28,0.0,1.0885419845581057,1.078125,1.0833330154418943,0.5383325219154358,21600,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-03-01,0.0,1.09375,1.0833330154418943,1.0833330154418943,0.5383325219154358,50400,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-03-02,0.0,1.09375,1.078125,1.0833330154418943,0.5383325219154358,24000,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-03-05,0.0,1.0989580154418943,1.078125,1.09375,0.5435085892677307,38400,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-03-06,0.0,1.09375,1.0885419845581057,1.09375,0.5435085892677307,9600,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-03-07,0.0,1.1041669845581057,1.0833330154418943,1.09375,0.5435085892677307,57600,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-03-08,0.0,1.09375,1.0833330154418943,1.09375,0.5435085892677307,67200,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-03-09,0.0,1.1145830154418943,1.0989580154418943,1.1041669845581057,0.5486853122711182,62400,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-03-12,0.0,1.1041669845581057,1.0989580154418943,1.1041669845581057,0.5486853122711182,43200,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-03-13,0.0,1.109375,1.09375,1.09375,0.5435085892677307,67200,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-03-14,0.0,1.109375,1.09375,1.1145830154418943,0.5538610816001892,36000,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-03-15,0.0,1.1197919845581057,1.0989580154418943,1.125,0.5590376853942871,57600,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-03-16,0.0,1.1666669845581057,1.125,1.140625,0.5668019652366638,110400,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-03-19,0.0,1.140625,1.125,1.125,0.5590376853942871,26400,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-03-20,0.0,1.109375,1.1041669845581057,1.1041669845581057,0.5486853122711182,7200,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-03-21,0.0,1.1041669845581057,1.09375,1.09375,0.5435085892677307,26400,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-03-22,0.0,1.0989580154418943,1.0729169845581057,1.0729169845581057,0.5331565141677856,134400,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-03-23,0.0,1.09375,1.0625,1.0625,0.5279801487922668,52800,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-03-26,0.0,1.0572919845581057,1.046875,1.0625,0.5279801487922668,9600,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-03-27,0.0,1.0677080154418943,1.0677080154418943,1.0677080154418943,0.53056800365448,9600,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-03-28,0.0,1.1041669845581057,1.0677080154418943,1.1041669845581057,0.5486853122711182,48000,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-03-29,0.0,1.125,1.109375,1.109375,0.5512732267379761,50400,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-03-30,0.0,1.109375,1.109375,1.109375,0.5512732267379761,12000,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-04-02,0.0,1.109375,1.1041669845581057,1.1041669845581057,0.5486853122711182,31200,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-04-03,0.0,1.1354169845581057,1.1041669845581057,1.1354169845581057,0.5642141103744507,40800,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-04-04,0.0,1.1614580154418943,1.1354169845581057,1.1666669845581057,0.5797427296638489,33600,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-04-05,0.0,1.1614580154418943,1.15625,1.15625,0.5745667219161987,571200,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-04-06,0.0,1.1666669845581057,1.15625,1.15625,0.5745667219161987,36000,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-04-09,0.0,1.1510419845581057,1.140625,1.15625,0.5745667219161987,4800,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-04-10,0.0,1.140625,1.109375,1.109375,0.5512732267379761,28800,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-04-11,0.0,1.125,1.109375,1.109375,0.5512732267379761,24000,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-04-12,0.0,1.1145830154418943,1.0989580154418943,1.0989580154418943,0.5460965633392334,43200,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-04-13,0.0,1.0989580154418943,1.09375,1.0989580154418943,0.5460965633392334,9600,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-04-16,0.0,1.1197919845581057,1.09375,1.1197919845581057,0.5564500093460083,14400,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-04-17,0.0,1.1197919845581057,1.09375,1.09375,0.5435085892677307,50400,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-04-18,0.0,1.0989580154418943,1.0885419845581057,1.09375,0.5435085892677307,96000,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-04-19,0.0,1.1458330154418943,1.0989580154418943,1.125,0.5590376853942871,88800,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-04-23,0.0,1.1458330154418943,1.1041669845581057,1.1197919845581057,0.5564500093460083,36000,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
