,Close_diff_MA_7,Volume_diff_MA_7,Close_diff_MA_30,Volume_diff_MA_30,Close_diff_MA_90,Volume_diff_MA_90,Close_diff_MA_180,Volume_diff_MA_180,price_change_term_7,price_change_term_30,price_change_term_120,price_change_term_240,Symbol,Close,Volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,Margin_Gross,Margin_Operating,Margin_Net_Profit,insider_acquisition,insider_disposal,mean_sentiment,mean_outlook,^VIX,SPY,CL=F,BZ=F,BTC=F,10year,5year,3year,2year
2017-06-22,-0.0026527912143533942,-0.2886727712017543,0.06603206428631075,0.401459172720626,0.04966007064081945,1.848541528187847,0.06234024172875438,3.2389088133502026,0.021621658774749086,0.0006006143610182146,0.0852852918214837,0.4780781486002177,VST,16.649999618530273,4504500.0,0.18,0.08,0.1,125.0,-0.0103168754605747,0.1142225497420781,-0.0206337509211495,0.0,0.0,0.0,0.0,10.479999542236328,242.83999633789065,42.7400016784668,45.220001220703125,19100.0,2.32,1.87,2.32,1.37
2017-06-23,0.0036808627968650974,1.4424307857118943,0.06917167417712318,4.476463623530071,0.05666751967515672,10.536331537346161,0.0682473638503492,16.73603260453389,-0.0005970285899603578,0.016119430314249117,0.041791090324743374,0.47283582545038483,VST,16.75,20845100.0,0.18,0.08,0.1,125.0,-0.0103168754605747,0.1142225497420781,-0.0206337509211495,0.0,0.0,0.0,0.0,10.020000457763672,243.1300048828125,43.0099983215332,45.540000915527344,19100.0,2.32,1.87,2.32,1.37
2017-06-26,-0.0001710284188090194,-0.6976648067782599,0.06344594079557284,-0.3286479961246234,0.05421533047832683,0.4142008210761056,0.0647002409630005,1.1810724793938288,-0.013772541262116467,0.02934130231931298,0.032335268473584255,0.47065858346819933,VST,16.700000762939453,2591600.0,0.18,0.08,0.1,125.0,-0.0103168754605747,0.1142225497420781,-0.0206337509211495,0.0,0.0,0.0,0.0,9.899999618530272,243.2899932861328,43.380001068115234,45.83000183105469,19100.0,2.32,1.87,2.32,1.37
2017-06-27,-0.0001710284188090194,-0.5031767306654598,0.06126083690152297,-0.27416955370743507,0.05473318797625424,0.5334443668403803,0.06439863961703726,1.3716551397494454,-0.015568875269684201,0.02215562365157875,0.0365268667745593,0.4425149132955899,VST,16.700000762939453,2854200.0,0.18,0.08,0.1,125.0,-0.0103168754605747,0.1142225497420781,-0.0206337509211495,0.0,0.0,0.0,0.0,11.0600004196167,241.3300018310547,44.2400016784668,46.650001525878906,19100.0,2.32,1.87,2.32,1.37
2017-06-28,0.008028719052828998,-0.5205849202111883,0.06817032161423188,-0.30442903082472905,0.06520468547836632,0.46596452367263574,0.07426932552438682,1.2733432427221372,-0.026097302380135745,0.0083036408410615,0.055160158452472796,0.43534993397813637,VST,16.860000610351562,2770800.0,0.18,0.08,0.1,125.0,-0.0103168754605747,0.1142225497420781,-0.0206337509211495,0.0,0.0,0.0,0.0,10.029999732971191,243.4900054931641,44.7400016784668,47.310001373291016,19100.0,2.32,1.87,2.32,1.37
2017-06-29,-0.0013668027983895611,-0.4373429592667304,0.05444828725340341,-0.21553309277027985,0.055414574690557716,0.6642678069537273,0.0639427923894177,1.5734715229983638,-0.015568875269684201,0.03053882025352883,0.07784426213593343,0.4604789386461938,VST,16.700000762939453,3179800.0,0.18,0.08,0.1,125.0,-0.0103168754605747,0.1142225497420781,-0.0206337509211495,0.0,0.0,0.0,0.0,11.4399995803833,241.3500061035156,44.93000030517578,47.41999816894531,19100.0,2.32,1.87,2.32,1.37
2017-06-30,0.0032437299558463256,-0.7342653681013719,0.05570929436077108,-0.6423873725748109,0.061098720709953105,-0.2447038110335751,0.0695100665659865,0.16674743002644637,-0.030970841537166116,0.035139857836078425,0.0815961201418276,0.43001780343427254,VST,16.790000915527344,1450000.0,0.18,0.08,0.1,125.0,0.8865740740740741,0.040895061728395,-0.0200617283950617,0.0,0.0,0.0,0.0,11.18000030517578,241.8000030517578,46.040000915527344,47.91999816894531,19100.0,2.32,1.87,2.32,1.37
2017-07-01,0.0032437299558463256,-0.7342653681013719,0.05570929436077108,-0.6423873725748109,0.061098720709953105,-0.2447038110335751,0.0695100665659865,0.16674743002644637,-0.030970841537166116,0.035139857836078425,0.0815961201418276,0.43001780343427254,VST,16.790000915527344,1450000.0,0.18,0.08,0.1,125.0,0.8865740740740741,0.040895061728395,-0.0200617283950617,0.0,0.0,0.0,0.0,11.18000030517578,241.8000030517578,46.040000915527344,47.91999816894531,19100.0,2.32,1.87,2.32,1.37
2017-07-03,0.013275444684822144,-0.8216804253128236,0.0651443310478612,-0.7738139163382869,0.07446660180115094,-0.5411791469589363,0.08317503240761562,-0.29328436025084514,-0.06643151670993241,0.02939447344339441,0.0676072664936036,0.39623748856123453,VST,17.010000228881836,880700.0,0.18,0.08,0.1,125.0,0.8865740740740741,0.040895061728395,-0.0200617283950617,0.0,0.0,0.0,0.0,11.220000267028809,242.2100067138672,47.06999969482422,49.68000030517578,19100.0,2.32,1.87,2.32,1.37
2017-07-05,-0.0027234502679231343,-0.28082411153743075,0.04435707007980009,-0.5967692972066991,0.05732249830043859,-0.18592579633815656,0.06574045150429013,0.2527630180658873,-0.043010712257996575,0.05495818929945506,0.07407406141412021,0.4050179677029131,VST,16.739999771118164,1571800.0,0.18,0.08,0.1,125.0,0.8865740740740741,0.040895061728395,-0.0200617283950617,0.0,0.0,0.0,0.0,11.06999969482422,242.77000427246097,45.130001068115234,47.790000915527344,19100.0,2.32,1.87,2.32,1.37
2017-07-06,-0.016884174398378964,-0.29105401257487995,0.02438108269875857,-0.6328277307369171,0.04004991086057274,-0.2599032728951633,0.048413859180556615,0.13425043806110767,-0.030965348905266366,0.039465789494712356,0.07710992779058023,0.4244080183689145,VST,16.469999313354492,1432000.0,0.18,0.08,0.1,125.0,0.8865740740740741,0.040895061728395,-0.0200617283950617,0.0,0.0,0.0,0.0,12.539999961853027,240.5500030517578,45.52000045776367,48.11000061035156,19100.0,2.32,1.87,2.32,1.37
2017-07-07,-0.016494302731317915,-0.07392912338436229,0.01947167626557779,-0.5579500143873063,0.0379516261773739,-0.11903300369274071,0.046341443063658595,0.35535038863022994,-0.02493916265773477,0.06690999669926612,0.0857664112900185,0.4385644069497563,VST,16.440000534057617,1720600.0,0.18,0.08,0.1,125.0,0.8865740740740741,0.040895061728395,-0.0200617283950617,0.0,0.0,0.0,0.0,11.1899995803833,242.11000061035156,44.22999954223633,46.709999084472656,19100.0,2.32,1.87,2.32,1.37
2017-07-10,-0.013983023468405338,-0.21647910177094812,0.014937661807542097,-0.6650951233696104,0.03660161968378852,-0.343757471753592,0.04490962079063403,0.011071714245530107,-0.028014618514593637,0.07551764709845465,0.09074298198508068,0.46589522429873864,VST,16.420000076293945,1290000.0,0.18,0.08,0.1,125.0,0.8865740740740741,0.040895061728395,-0.0200617283950617,0.0,0.0,0.0,0.0,11.109999656677246,242.3699951171875,44.400001525878906,46.880001068115234,19100.0,2.32,1.87,2.32,1.37
2017-07-11,-0.010575166540838428,0.19009398776667155,0.013147097642922555,-0.5546798474438508,0.037689564532100386,-0.13775101009336743,0.045982689789983176,0.3336581238665562,-0.014598525749495717,0.07542577438177944,0.11435517638043491,0.4385644069497563,VST,16.440000534057617,1709400.0,0.18,0.08,0.1,125.0,0.8865740740740741,0.040895061728395,-0.0200617283950617,0.0,0.0,0.0,0.0,10.890000343322754,242.19000244140625,45.040000915527344,47.52000045776367,19100.0,2.32,1.87,2.32,1.37
2017-07-12,-0.01640899642593271,0.5358837350654535,-0.00010241815307910544,-0.3758328121760689,0.026951991023017114,0.20734276323160564,0.034958042322276936,0.8676135405713932,0.0073754719427499005,0.08912100889947516,0.13214502507923065,0.4339274288448782,VST,16.270000457763672,2418600.0,0.18,0.08,0.1,125.0,0.8865740740740741,0.040895061728395,-0.0200617283950617,0.0,0.0,0.0,0.0,10.300000190734863,244.0099945068359,45.4900016784668,47.7400016784668,19100.0,2.32,1.87,2.32,1.37
2017-07-13,-0.030525030311763585,0.09879560132658405,-0.026284603579087778,-0.5158598518738801,0.002539320585021087,-0.061575012436691605,0.010078170033429201,0.4473599614412031,0.04534006686650183,0.11146092514695627,0.16309818515418573,0.5012594446336511,VST,15.880000114440918,1888500.0,0.18,0.08,0.1,125.0,0.8865740740740741,0.040895061728395,-0.0200617283950617,0.0,0.0,0.0,0.0,9.899999618530272,244.4199981689453,46.08000183105469,48.41999816894531,19100.0,2.32,1.87,2.32,1.37
2017-07-14,-0.015797773037417726,-0.22697852434616198,-0.019923721886870735,-0.6673421963511149,0.011434609197653638,-0.35907821696323433,0.018824752322038407,-0.010341967095242332,0.03682897226772308,0.10798998082412226,0.15418222489235145,0.4825218053280509,VST,16.020000457763672,1298400.0,0.18,0.08,0.1,125.0,0.8865740740740741,0.040895061728395,-0.0200617283950617,0.0,0.0,0.0,0.0,9.510000228881836,245.55999755859375,46.540000915527344,48.90999984741211,19100.0,2.32,1.87,2.32,1.37
2017-07-17,-0.01507539374187545,-0.3095019859456156,-0.02552205865109739,-0.7075798915026512,0.007568688500918582,-0.4441808964372924,0.014826039453356437,-0.14261145208066361,0.03446116475064365,0.11278196656845685,0.1704260814866898,0.47243107417488805,VST,15.960000038146973,1130000.0,0.18,0.08,0.1,125.0,0.8865740740740741,0.040895061728395,-0.0200617283950617,0.0,0.0,0.0,0.0,9.81999969482422,245.52999877929688,46.02000045776367,48.41999816894531,19100.0,2.32,1.87,2.32,1.37
2017-07-18,-0.007166851368283036,0.04884460202958797,-0.02277943816745123,-0.5434312862799643,0.011547965972062322,-0.16146518364212786,0.018978307092718492,0.29390983447895613,0.03056767000180982,0.1048033890121256,0.1665626925717043,0.4759824600084457,VST,16.030000686645508,1715700.0,0.18,0.08,0.1,125.0,0.8865740740740741,0.040895061728395,-0.0200617283950617,0.0,0.0,0.0,0.0,9.890000343322754,245.66000366210935,46.400001525878906,48.84000015258789,19100.0,2.32,1.87,2.32,1.37
2017-07-19,-0.007462704713673346,-0.46783551279486385,-0.02791596449399432,-0.7718600050030701,0.006940060785963807,-0.5914229223470049,0.014256358925971734,-0.36593920465989177,0.029448638214626177,0.08771933388836861,0.15664154388159668,0.5043859756575229,VST,15.960000038146973,836000.0,0.18,0.08,0.1,125.0,0.8865740740740741,0.040895061728395,-0.0200617283950617,0.0,0.0,0.0,0.0,9.789999961853027,246.9900054931641,47.119998931884766,49.70000076293945,19100.0,2.32,1.87,2.32,1.37
2017-07-20,0.009615409189400613,-0.19364919066718753,-0.01433870880608198,-0.6613762837370436,0.022096391368757802,-0.41197926291933745,0.029145035142320485,-0.08751225312417987,0.014197501938548962,0.09259258823194205,0.1327160195849375,0.40802459208054764,VST,16.200000762939453,1209100.0,0.18,0.08,0.1,125.0,0.8865740740740741,0.040895061728395,-0.0200617283950617,0.0,0.0,0.0,0.0,9.579999923706056,247.1000061035156,46.790000915527344,49.29999923706055,19100.0,2.32,1.87,2.32,1.37
