Date,Open,High,Low,Close,Adj Close,Volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,Margin_Gross,Margin_Operating,Margin_Net_Profit,insider_acquisition,insider_disposal,mean_sentiment,mean_outlook
1980-03-17,0.0,2.222222089767456,2.194443941116333,2.2083330154418945,0.474105030298233,183600,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-03-18,0.0,2.25,2.194443941116333,2.2361109256744385,0.4800687432289123,73800,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-03-19,0.0,2.277777910232544,2.2361109256744385,2.277777910232544,0.4890140891075134,164700,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-03-20,0.0,2.3333330154418945,2.277777910232544,2.3333330154418945,0.5009410381317139,87300,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-03-21,0.0,2.375,2.3611109256744385,2.3611109256744385,0.5069048404693604,104400,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-03-24,0.0,2.375,2.277777910232544,2.277777910232544,0.4890140891075134,129600,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-03-25,0.0,2.2638890743255615,2.2361109256744385,2.25,0.4830503165721893,299700,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-03-26,0.0,2.2916669845581055,2.25,2.277777910232544,0.4890140891075134,114300,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-03-27,0.0,2.277777910232544,2.25,2.2638890743255615,0.4860325753688812,54000,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-03-28,0.0,2.25,2.2083330154418945,2.25,0.4830503165721893,144000,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-03-31,0.0,2.2638890743255615,2.2361109256744385,2.2638890743255615,0.4860325753688812,184500,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-04-01,0.0,2.3333330154418945,2.2638890743255615,2.3333330154418945,0.5009410381317139,120600,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-04-02,0.0,2.430556058883667,2.3611109256744385,2.430556058883667,0.5218141078948975,90900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-04-03,0.0,2.5416669845581055,2.444443941116333,2.5416669845581055,0.5456686019897461,25200,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-04-07,0.0,2.5416669845581055,2.527777910232544,2.527777910232544,0.5426862835884094,34200,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-04-08,0.0,2.5416669845581055,2.4861109256744385,2.5416669845581055,0.5456686019897461,68400,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-04-09,0.0,2.625,2.5416669845581055,2.6111109256744385,0.5605771541595459,168300,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-04-10,0.0,2.75,2.680556058883667,2.680556058883667,0.575486421585083,183600,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-04-11,0.0,2.7083330154418945,2.6666669845581055,2.6666669845581055,0.5725045204162598,174600,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-04-14,0.0,2.680556058883667,2.6388890743255615,2.6666669845581055,0.5725045204162598,351900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-04-15,0.0,2.652777910232544,2.5833330154418945,2.5833330154418945,0.5546134114265442,85500,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-04-16,0.0,2.777777910232544,2.597222089767456,2.722222089767456,0.5844315886497498,323100,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-04-17,0.0,2.722222089767456,2.6666669845581055,2.722222089767456,0.5844315886497498,307800,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-04-18,0.0,2.75,2.694443941116333,2.7083330154418945,0.5814499258995056,48600,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-04-21,0.0,2.7083330154418945,2.6666669845581055,2.6666669845581055,0.5725045204162598,44100,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-04-22,0.0,2.680556058883667,2.652777910232544,2.680556058883667,0.575486421585083,216900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-04-23,0.0,2.7083330154418945,2.6666669845581055,2.694443941116333,0.578468382358551,579600,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-04-24,0.0,2.694443941116333,2.652777910232544,2.6666669845581055,0.5725045204162598,518400,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-04-25,0.0,2.680556058883667,2.6388890743255615,2.680556058883667,0.575486421585083,126000,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-04-28,0.0,2.7083330154418945,2.6666669845581055,2.694443941116333,0.578468382358551,91800,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-04-29,0.0,2.722222089767456,2.694443941116333,2.7083330154418945,0.5814499258995056,316800,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-04-30,0.0,2.722222089767456,2.680556058883667,2.722222089767456,0.5844315886497498,78300,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-05-01,0.0,2.722222089767456,2.680556058883667,2.722222089767456,0.5844315886497498,75600,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-05-02,0.0,2.652777910232544,2.625,2.6388890743255615,0.5665406584739685,85500,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-05-05,0.0,2.652777910232544,2.625,2.652777910232544,0.5695227980613708,63900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-05-06,0.0,2.75,2.652777910232544,2.7083330154418945,0.5814499258995056,88200,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-05-07,0.0,2.777777910232544,2.722222089767456,2.7638890743255615,0.593376636505127,94500,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-05-08,0.0,2.7638890743255615,2.694443941116333,2.7083330154418945,0.5814499258995056,836100,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
