Date,Open,High,Low,Close,Adj Close,Volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,Margin_Gross,Margin_Operating,Margin_Net_Profit,insider_acquisition,insider_disposal,mean_sentiment,mean_outlook
1972-08-25,0.0211590006947517,0.0215659998357296,0.0211590006947517,0.021484000608325,0.0116644529625773,7526400.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1972-08-28,0.021484000608325,0.0216470006853342,0.0214029997587203,0.0214029997587203,0.0116204787045717,2918400.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1972-08-29,0.0213220007717609,0.0213220007717609,0.0211590006947517,0.0211590006947517,0.0114879915490746,5836800.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1972-08-30,0.0211590006947517,0.0211590006947517,0.0209960006177425,0.0211590006947517,0.0114879915490746,1228800.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1972-08-31,0.0209960006177425,0.0209960006177425,0.0208330005407333,0.0208330005407333,0.0113110058009624,2611200.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1972-09-01,0.0209149997681379,0.0209960006177425,0.0209149997681379,0.0209960006177425,0.0113995010033249,768000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1972-09-05,0.0209960006177425,0.0209960006177425,0.0208330005407333,0.0208330005407333,0.0113110058009624,1689600.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1972-09-06,0.0209960006177425,0.0209960006177425,0.0209960006177425,0.0209960006177425,0.0113995010033249,768000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1972-09-07,0.0209960006177425,0.0209960006177425,0.0209149997681379,0.0209149997681379,0.011355523020029,3532800.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1972-09-08,0.0208330005407333,0.0208330005407333,0.0207519996911287,0.0207519996911287,0.0112670231610536,1996800.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1972-09-11,0.0209149997681379,0.0209149997681379,0.0209149997681379,0.0209149997681379,0.011355523020029,2764800.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1972-09-12,0.0209149997681379,0.0209149997681379,0.0209149997681379,0.0209149997681379,0.011355523020029,1843200.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1972-09-13,0.0209149997681379,0.0209149997681379,0.0209149997681379,0.0209149997681379,0.011355523020029,460800.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1972-09-14,0.0209149997681379,0.0210769996047019,0.0208330005407333,0.0210769996047019,0.0114434733986854,3840000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1972-09-15,0.0209960006177425,0.0209960006177425,0.0209149997681379,0.0209149997681379,0.011355523020029,1536000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1972-09-18,0.0209960006177425,0.0210769996047019,0.0209960006177425,0.0209960006177425,0.0113995010033249,3225600.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1972-09-19,0.0209149997681379,0.0209149997681379,0.0207519996911287,0.0208330005407333,0.0113110058009624,9369600.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1972-09-20,0.0206710007041692,0.0206710007041692,0.0206710007041692,0.0206710007041692,0.0112230414524674,153600.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1972-09-21,0.02050800062716,0.02050800062716,0.0200200006365776,0.0200200006365776,0.0108695914968848,4300800.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1972-09-22,0.0199379995465278,0.0199379995465278,0.0192869994789361,0.0192869994789361,0.0104716224595904,2611200.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1972-09-25,0.0192060004919767,0.0192060004919767,0.0187170002609491,0.0187170002609491,0.0101621504873037,2918400.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1972-09-26,0.0187170002609491,0.0187170002609491,0.018555000424385,0.0186359994113445,0.0101181715726852,2150400.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1972-09-27,0.0184729993343353,0.0184729993343353,0.0182290002703666,0.0182290002703666,0.0098971901461482,1996800.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1972-09-28,0.018555000424385,0.0188800003379583,0.018555000424385,0.0187170002609491,0.0101621504873037,4300800.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1972-09-29,0.0188800003379583,0.0189619995653629,0.0188800003379583,0.0189619995653629,0.010295164771378,768000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1972-10-02,0.0191239994019269,0.0198570005595684,0.0191239994019269,0.0198570005595684,0.0107810935005545,4915200.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1972-10-03,0.0200200006365776,0.0201820004731416,0.0200200006365776,0.0201820004731416,0.0109575511887669,1536000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
