Date,Open,High,Low,Close,Adj Close,Volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,Margin_Gross,Margin_Operating,Margin_Net_Profit,insider_acquisition,insider_disposal,mean_sentiment,mean_outlook
1980-03-17,0.0,0.828125,0.78125,0.78125,0.4327824115753174,48000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-03-18,0.0,0.8125,0.765625,0.765625,0.4241265952587127,28800.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-03-19,0.0,0.828125,0.78125,0.78125,0.4327824115753174,22400.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-03-20,0.0,0.8125,0.765625,0.765625,0.4241265952587127,14400.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-03-21,0.0,0.8125,0.765625,0.765625,0.4241265952587127,17600.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-03-24,0.0,0.8125,0.765625,0.765625,0.4241265952587127,41600.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-03-25,0.0,0.796875,0.75,0.75,0.4154714047908783,16000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-03-26,0.0,0.796875,0.75,0.75,0.4154714047908783,38400.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-03-27,0.0,0.734375,0.6875,0.6875,0.3808484673500061,65600.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-03-28,0.0,0.75,0.703125,0.703125,0.3895041644573211,46400.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-03-31,0.0,0.78125,0.734375,0.734375,0.4068156480789184,22400.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-04-01,0.0,0.765625,0.71875,0.71875,0.3981598913669586,33600.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-04-02,0.0,0.765625,0.71875,0.71875,0.3981598913669586,16000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-04-03,0.0,0.765625,0.71875,0.71875,0.3981598913669586,9600.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-04-07,0.0,0.765625,0.71875,0.71875,0.3981598913669586,11200.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-04-08,0.0,0.75,0.703125,0.703125,0.3895041644573211,72000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-04-09,0.0,0.78125,0.734375,0.734375,0.4068156480789184,27200.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-04-10,0.0,0.828125,0.78125,0.78125,0.4327824115753174,115200.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-04-11,0.0,0.84375,0.796875,0.796875,0.4414379596710205,83200.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-04-14,0.0,0.828125,0.78125,0.78125,0.4327824115753174,38400.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-04-15,0.0,0.8125,0.765625,0.765625,0.4241265952587127,94400.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-04-16,0.0,0.8125,0.765625,0.765625,0.4241265952587127,51200.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-04-17,0.0,0.8125,0.765625,0.765625,0.4241265952587127,46400.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-04-18,0.0,0.8125,0.765625,0.765625,0.4241265952587127,64000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
