Date,Open,High,Low,Close,Adj Close,Volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,Margin_Gross,Margin_Operating,Margin_Net_Profit,insider_acquisition,insider_disposal,mean_sentiment,mean_outlook
1962-01-02,0.0,1.589843988418579,1.578125,1.578125,0.0926243215799331,902400,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962-01-03,0.0,1.6015629768371582,1.578125,1.6015629768371582,0.0939999818801879,1200000,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962-01-04,0.0,1.613281011581421,1.597656011581421,1.605468988418579,0.0942291989922523,1088000,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962-01-05,0.0,1.613281011581421,1.566406011581421,1.5703129768371582,0.0921657755970954,1222400,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962-01-08,0.0,1.582031011581421,1.546875,1.566406011581421,0.0919365212321281,1388800,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962-01-09,0.0,1.578125,1.558593988418579,1.5625,0.0917072817683219,1065600,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962-01-10,0.0,1.5625,1.550781011581421,1.5546879768371582,0.0912487506866455,828800,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962-01-11,0.0,1.5703129768371582,1.558593988418579,1.5703129768371582,0.0921657755970954,617600,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962-01-12,0.0,1.59375,1.574218988418579,1.59375,0.0935414209961891,1398400,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962-01-15,0.0,1.59375,1.578125,1.59375,0.0935414209961891,966400,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962-01-16,0.0,1.59375,1.582031011581421,1.582031011581421,0.0928535982966423,569600,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962-01-17,0.0,1.59375,1.5625,1.574218988418579,0.092395007610321,832000,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962-01-18,0.0,1.582031011581421,1.566406011581421,1.578125,0.0926243215799331,844800,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962-01-19,0.0,1.589843988418579,1.578125,1.589843988418579,0.0933121144771575,720000,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962-01-22,0.0,1.59375,1.5859379768371582,1.59375,0.0935414209961891,745600,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962-01-23,0.0,1.589843988418579,1.578125,1.582031011581421,0.0928535982966423,908800,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962-01-24,0.0,1.5859379768371582,1.5703129768371582,1.582031011581421,0.0928535982966423,841600,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962-01-25,0.0,1.59375,1.582031011581421,1.5859379768371582,0.0930828675627708,1078400,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962-01-26,0.0,1.59375,1.582031011581421,1.59375,0.0935414209961891,832000,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962-01-29,0.0,1.621093988418579,1.59375,1.6171879768371582,0.0949170067906379,1462400,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962-01-30,0.0,1.6328129768371582,1.621093988418579,1.6328129768371582,0.0958340391516685,1843200,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962-01-31,0.0,1.65625,1.636718988418579,1.65625,0.0972096994519233,1718400,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962-02-01,0.0,1.6875,1.65625,1.6875,0.0990438982844352,2371200,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962-02-02,0.0,1.722656011581421,1.683593988418579,1.722656011581421,0.1011072099208831,2310400,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962-02-05,0.0,1.75,1.7265629768371582,1.738281011581421,0.1020243018865585,1977600,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962-02-06,0.0,1.734375,1.7109379768371582,1.714843988418579,0.100648745894432,1446400,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962-02-07,0.0,1.7109379768371582,1.683593988418579,1.7109379768371582,0.1015295982360839,1126400,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962-02-08,0.0,1.71875,1.707031011581421,1.7109379768371582,0.1015295982360839,684800,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962-02-09,0.0,1.699218988418579,1.691406011581421,1.691406011581421,0.1003704816102981,563200,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962-02-12,0.0,1.699218988418579,1.6875,1.6953129768371582,0.1006023958325386,428800,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962-02-13,0.0,1.6953129768371582,1.660156011581421,1.683593988418579,0.0999069586396217,873600,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962-02-14,0.0,1.703125,1.671875,1.703125,0.1010658964514732,636800,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962-02-15,0.0,1.7109379768371582,1.6953129768371582,1.707031011581421,0.1012977138161659,742400,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962-02-16,0.0,1.71875,1.703125,1.7109379768371582,0.1015295982360839,816000,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
