Date,Dividend
1994-09-08 00:00:00-04:00,0.002167
1994-12-22 00:00:00-05:00,0.0125
1995-03-27 00:00:00-05:00,0.0125
1995-06-28 00:00:00-04:00,0.0125
1995-10-02 00:00:00-04:00,0.0125
1995-12-26 00:00:00-05:00,0.013667
1996-03-27 00:00:00-05:00,0.013667
1996-06-26 00:00:00-04:00,0.013667
1996-09-25 00:00:00-04:00,0.013667
1996-12-24 00:00:00-05:00,0.015333
1997-03-26 00:00:00-05:00,0.015333
1997-06-26 00:00:00-04:00,0.015333
1997-09-26 00:00:00-04:00,0.017
1997-12-26 00:00:00-05:00,0.017333
1998-03-25 00:00:00-05:00,0.017333
1998-06-25 00:00:00-04:00,0.017333
1998-09-25 00:00:00-04:00,0.017333
1998-12-28 00:00:00-05:00,0.018333
1999-03-04 00:00:00-05:00,0.018333
1999-06-22 00:00:00-04:00,0.018667
1999-09-24 00:00:00-04:00,0.018333
1999-12-27 00:00:00-05:00,0.018667
2000-03-29 00:00:00-05:00,0.021
2000-06-22 00:00:00-04:00,0.021
2000-09-21 00:00:00-04:00,0.021
2000-12-26 00:00:00-05:00,0.023
2001-03-29 00:00:00-05:00,0.023
2001-06-21 00:00:00-04:00,0.023
2001-09-20 00:00:00-04:00,0.023
2001-12-19 00:00:00-05:00,0.023
2002-03-21 00:00:00-05:00,0.023
2002-06-26 00:00:00-04:00,0.023
2002-09-20 00:00:00-04:00,0.023
2002-12-24 00:00:00-05:00,0.023
2003-03-25 00:00:00-05:00,0.023
2003-06-25 00:00:00-04:00,0.023
2003-10-01 00:00:00-04:00,0.0265
2003-12-24 00:00:00-05:00,0.0265
2004-03-25 00:00:00-05:00,0.0265
2004-06-25 00:00:00-04:00,0.0265
2004-09-23 00:00:00-04:00,0.0265
2004-12-23 00:00:00-05:00,0.03
2005-03-22 00:00:00-05:00,0.03
2005-06-22 00:00:00-04:00,0.03
2005-09-23 00:00:00-04:00,0.03
2005-12-22 00:00:00-05:00,0.035
2006-03-23 00:00:00-05:00,0.035
2006-06-22 00:00:00-04:00,0.035
2006-09-27 00:00:00-04:00,0.035
2006-12-26 00:00:00-05:00,0.04
2007-03-23 00:00:00-04:00,0.04
2007-06-26 00:00:00-04:00,0.04
2007-09-25 00:00:00-04:00,0.04
2007-12-24 00:00:00-05:00,0.045
2008-03-25 00:00:00-04:00,0.045
2008-06-25 00:00:00-04:00,0.045
2008-09-24 00:00:00-04:00,0.045
2008-12-24 00:00:00-05:00,0.05
2009-03-24 00:00:00-04:00,0.05
2009-06-24 00:00:00-04:00,0.05
2009-09-23 00:00:00-04:00,0.05
2009-12-24 00:00:00-05:00,0.05
2010-03-24 00:00:00-04:00,0.05
2010-06-23 00:00:00-04:00,0.05
2010-09-27 00:00:00-04:00,0.05
2010-12-27 00:00:00-05:00,0.05
2011-03-29 00:00:00-04:00,0.05
2011-06-28 00:00:00-04:00,0.05
2011-09-23 00:00:00-04:00,0.05
2011-12-28 00:00:00-05:00,0.055
2012-03-28 00:00:00-04:00,0.055
2012-06-27 00:00:00-04:00,0.055
2012-09-26 00:00:00-04:00,0.055
2012-12-26 00:00:00-05:00,0.055
2013-03-26 00:00:00-04:00,0.063
2013-06-26 00:00:00-04:00,0.063
2013-09-25 00:00:00-04:00,0.063
2013-12-24 00:00:00-05:00,0.063
2014-03-26 00:00:00-04:00,0.066
2014-06-25 00:00:00-04:00,0.066
2014-09-24 00:00:00-04:00,0.066
2014-12-23 00:00:00-05:00,0.066
2015-03-25 00:00:00-04:00,0.072
2015-06-24 00:00:00-04:00,0.073
2015-09-23 00:00:00-04:00,0.073
2015-12-22 00:00:00-05:00,0.073
2016-03-22 00:00:00-04:00,0.078
2016-06-22 00:00:00-04:00,0.078
2016-09-28 00:00:00-04:00,0.078
2016-12-28 00:00:00-05:00,0.078
2017-03-29 00:00:00-04:00,0.088
2017-06-28 00:00:00-04:00,0.088
2017-09-28 00:00:00-04:00,0.088
2017-12-28 00:00:00-05:00,0.088
2018-03-28 00:00:00-04:00,0.088
2018-06-28 00:00:00-04:00,0.088
2018-09-27 00:00:00-04:00,0.088
2018-12-27 00:00:00-05:00,0.088
2019-03-28 00:00:00-04:00,0.088
2019-06-27 00:00:00-04:00,0.088
2019-09-26 00:00:00-04:00,0.1
2019-12-26 00:00:00-05:00,0.1
2020-03-26 00:00:00-04:00,0.1
2020-06-25 00:00:00-04:00,0.1
2020-09-24 00:00:00-04:00,0.1
2020-12-23 00:00:00-05:00,0.1
2021-03-25 00:00:00-04:00,0.1
2021-06-24 00:00:00-04:00,0.11
2021-09-23 00:00:00-04:00,0.11
2021-12-30 00:00:00-05:00,0.11
2022-03-24 00:00:00-04:00,0.125
2022-06-23 00:00:00-04:00,0.125
2022-09-29 00:00:00-04:00,0.125
2022-12-29 00:00:00-05:00,0.125
2023-03-30 00:00:00-04:00,0.14
2023-06-29 00:00:00-04:00,0.14
2023-09-28 00:00:00-04:00,0.14
2023-12-28 00:00:00-05:00,0.14
2024-03-27 00:00:00-04:00,0.16
2024-06-28 00:00:00-04:00,0.16
2024-09-27 00:00:00-04:00,0.16
