,Close_diff_MA_7,Volume_diff_MA_7,Close_diff_MA_30,Volume_diff_MA_30,Close_diff_MA_90,Volume_diff_MA_90,Close_diff_MA_180,Volume_diff_MA_180,price_change_term_7,price_change_term_30,price_change_term_120,price_change_term_240,Symbol,Close,Volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,Margin_Gross,Margin_Operating,Margin_Net_Profit,insider_acquisition,insider_disposal,mean_sentiment,mean_outlook,^VIX,SPY,CL=F,BZ=F,BTC=F,10year,5year,3year,2year
2013-10-09,-0.009855979384291086,-0.11066296286550918,0.008373714762536184,-0.1632923686540574,0.019285244636609834,-0.5553952020724283,0.008337769445918882,-0.3701819538540073,0.0569519853053444,-0.001908987125669892,-0.05758827389016341,0.14158449633252612,ZTS,31.43000030517578,3379900.0,0.36,0.36,0.0,0.0,0.25512104283054,-0.217877094972067,0.121973929236499,0.000167971810089,0.0,0.0,0.0,19.600000381469727,165.60000610351562,101.61000061035156,109.05999755859376,19100.0,2.72,1.37,2.72,0.3
2013-10-10,0.01678787850923825,0.10979641426650373,0.03512253180512893,0.11316615478078905,0.04937361506679421,-0.4222622253116597,0.03222058386451744,-0.1842552003514564,0.012669957962885725,-0.024103852655552593,-0.08467242643504991,0.13040794626416652,ZTS,32.36000061035156,4397600.0,0.36,0.36,0.0,0.0,0.25512104283054,-0.217877094972067,0.121973929236499,0.0,0.0,0.0,0.0,16.479999542236328,169.1699981689453,103.01000213623048,111.8000030517578,19100.0,2.72,1.37,2.72,0.3
2013-10-11,0.016220129190521126,0.39968213810774855,0.03317429273253786,0.5025079169584582,0.05054964090389014,-0.19391525382359676,0.027596438222746673,0.1363371277663466,0.003394962668950452,-0.032098792177422175,-0.09506178043215807,0.12037029405898614,ZTS,32.400001525878906,6164800.0,0.36,0.36,0.0,0.0,0.25512104283054,-0.217877094972067,0.121973929236499,0.0,0.0,0.0,0.0,15.720000267028809,170.25999450683594,102.0199966430664,111.27999877929688,19100.0,2.72,1.37,2.72,0.3
2013-10-14,0.009107561901057834,-0.4262135072296462,0.026241377260852093,-0.3850717270358745,0.04668503892965755,-0.6682185637300597,0.018313981497695326,-0.5352620164609768,0.009600419628501111,-0.03096933947496816,-0.10188915522592246,0.13440693804690818,ZTS,32.290000915527344,2527800.0,0.36,0.36,0.0,0.0,0.25512104283054,-0.217877094972067,0.121973929236499,0.0,0.0,0.0,0.0,16.06999969482422,170.94000244140625,102.41000366210938,111.04000091552734,19100.0,2.72,1.37,2.72,0.3
2013-10-15,0.002142733857979976,-0.40494859222343205,0.016406591459295933,-0.4352739000066345,0.03953120273225501,-0.6934349721660552,0.005724988131916004,-0.5732668692042798,0.020891861241604914,-0.020268151690540193,-0.09105082956284549,0.14717808748420058,ZTS,32.06999969482422,2326600.0,0.36,0.36,0.0,0.0,0.25512104283054,-0.217877094972067,0.121973929236499,1.751261127596439e-06,0.0,0.0,0.0,18.65999984741211,169.6999969482422,101.20999908447266,109.95999908447266,19100.0,2.72,1.37,2.72,0.3
2013-10-16,0.023380862009826933,-0.04492175005926604,0.03888307614725454,-0.12301295844959761,0.06565430745913188,-0.5203069626202775,0.031102700852961858,-0.2892082416566954,-0.012769783421689551,-0.048951010425061,-0.11644876846399344,0.12344181966050227,ZTS,32.88999938964844,3625900.0,0.36,0.36,0.0,0.0,0.25512104283054,-0.217877094972067,0.121973929236499,0.0,0.0,0.0,0.0,14.710000038146973,172.07000732421875,102.29000091552734,110.86000061035156,19100.0,2.72,1.37,2.72,0.3
2013-10-17,0.02092988125944193,-0.20042584962530763,0.040347687705597685,-0.2845082783245888,0.0696127656027388,-0.6147715963497339,0.035129313890719424,-0.43019291134451126,-0.03178926054695119,-0.0569179300710414,-0.12624881389820275,0.10354229821486483,ZTS,33.029998779296875,2891500.0,0.36,0.36,0.0,0.0,0.25512104283054,-0.217877094972067,0.121973929236499,0.0,0.0,0.0,0.0,13.479999542236328,173.22000122070312,100.66999816894533,110.97000122070312,19100.0,2.72,1.37,2.72,0.3
2013-10-18,0.018750575521930435,0.0749490614966658,0.04347283443317616,-0.004916155296494676,0.07497271221324736,-0.46836100316493134,0.040688818509896835,-0.21491973853893867,-0.03582186627568895,-0.06231190626455485,-0.14509336017630747,0.11107761863685095,ZTS,33.220001220703125,3979400.0,0.36,0.36,0.0,0.0,0.25512104283054,-0.217877094972067,0.121973929236499,0.0,0.0,0.0,0.0,13.039999961853027,174.38999938964844,100.80999755859376,110.97000122070312,19100.0,2.72,1.37,2.72,0.3
2013-10-21,0.003148647459034189,-0.225231257594921,0.026993723271644995,-0.33013580063672704,0.05966048150015432,-0.6379593877929031,0.026280777580090807,-0.4720265675779025,-0.021666129830780867,-0.05126641079364913,-0.13091244600550445,0.1495269344746306,ZTS,32.77000045776367,2677800.0,0.36,0.36,0.0,0.0,0.25512104283054,-0.217877094972067,0.121973929236499,0.0,0.0,0.0,0.0,13.15999984741211,174.39999389648438,99.22000122070312,109.63999938964844,19100.0,2.72,1.37,2.72,0.3
2013-10-22,-0.005288969905676607,0.022667853895119754,0.017187741136414716,-0.21568660688556265,0.0506678554034812,-0.5675630713125123,0.018047776182128376,-0.3913415910988635,-0.026145755706117435,-0.03998767469020392,-0.12180865238155747,0.15841285117716453,ZTS,32.5099983215332,3084600.0,0.36,0.36,0.0,0.0,0.25512104283054,-0.217877094972067,0.121973929236499,0.0,0.0,0.0,0.0,13.329999923706056,175.41000366210938,97.8000030517578,109.97000122070312,19100.0,2.72,1.37,2.72,0.3
2013-10-23,-0.0038849667522377314,-0.07847314691522418,0.018654455323071518,-0.261323816497984,0.05303955157056372,-0.5913133642929526,0.020946050378028602,-0.444139825927231,-0.02331283304005405,-0.03558276056314291,-0.12484656374160508,0.12607364425535827,ZTS,32.599998474121094,2817700.0,0.36,0.36,0.0,0.0,0.25512104283054,-0.217877094972067,0.121973929236499,0.0,0.0,0.0,0.0,13.420000076293944,174.57000732421875,96.86000061035156,107.8000030517578,19100.0,2.72,1.37,2.72,0.3
2013-10-24,-0.0025243148350565965,-0.23183718803083758,0.021263374425790495,-0.3806735378294383,0.05690187304767406,-0.6469073717251945,0.02542335372641739,-0.536548170215487,-0.02474041941860239,-0.03665243437445198,-0.12645085781165255,0.1469150064753142,ZTS,32.7400016784668,2351500.0,0.36,0.36,0.0,0.0,0.25512104283054,-0.217877094972067,0.121973929236499,0.0,0.0,0.0,0.0,13.199999809265137,175.14999389648438,97.11000061035156,106.98999786376952,19100.0,2.72,1.37,2.72,0.3
2013-10-25,-0.008938657043263708,-0.46245715204347804,0.011347980745808934,-0.6044149795858397,0.047329299311216835,-0.7725413948992145,0.01719166629601778,-0.7081024501876652,-0.024022194558717014,-0.022174351513237545,-0.1059439607247149,0.14012932140450407,ZTS,32.470001220703125,1480800.0,0.36,0.36,0.0,0.0,0.25512104283054,-0.217877094972067,0.121973929236499,0.0,0.0,0.0,0.0,13.09000015258789,175.9499969482422,97.8499984741211,106.93000030517578,19100.0,2.72,1.37,2.72,0.3
2013-10-28,-0.01940516055064642,0.27094796337164595,-0.004048598435260085,0.002069503346753415,0.03101423331363176,-0.411225636392486,0.0021151442925601786,-0.28504034367767,-0.022201347549581807,-0.019387083826124862,-0.06535335154797617,0.14696688024438864,ZTS,31.979999542236328,3636400.0,0.36,0.36,0.0,0.0,0.25512104283054,-0.217877094972067,0.121973929236499,0.0,0.0,0.0,0.0,13.3100004196167,176.22999572753906,98.68000030517578,109.61000061035156,19100.0,2.72,1.37,2.72,0.3
