Feature,Loss Change,f1 Change
2year,0.012670729694695293,-0.009751349687576294
delta_3year,0.00601177585536028,-0.002079010009765625
BTC=F,0.005887588550304468,-0.0009879469871520996
3year,0.005429025354056538,-0.000544130802154541
delta_mean_outlook,0.004500711786335931,-0.0025476813316345215
delta_Margin_Operating,0.0035396197746540015,-0.0031401515007019043
delta_surprise,0.002970622531298872,-0.0005116462707519531
Close_diff_MA_7,0.002962347762338058,-0.0046159327030181885
mean_outlook,0.002173457680077373,-0.002079010009765625
surprise,0.0015011727809906006,-0.0031401515007019043
Margin_Net_Profit,0.0011704862117767334,-0.0026296377182006836
SPY,0.0007091729805387414,-0.014790236949920654
delta_mean_sentiment,0.0002902931180492896,-0.001568436622619629
BZ=F,0.0001200684185685974,-0.000544130802154541
